confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
0,0.00,,,,80 이상,2020-01-20,2020-01-20
0,0.00,,,,80 이상,2020-01-21,2020-01-21
0,0.00,,,,80 이상,2020-01-22,2020-01-22
0,0.00,,,,80 이상,2020-01-23,2020-01-23
0,0.00,,,,80 이상,2020-01-24,2020-01-24
0,0.00,,,,80 이상,2020-01-25,2020-01-25
0,0.00,,,,80 이상,2020-01-26,2020-01-26
0,0.00,,,,80 이상,2020-01-27,2020-01-27
0,0.00,,,,80 이상,2020-01-28,2020-01-28
0,0.00,,,,80 이상,2020-01-29,2020-01-29
0,0.00,,,,80 이상,2020-01-30,2020-01-30
0,0.00,,,,80 이상,2020-01-31,2020-01-31
0,0.00,,,,80 이상,2020-02-01,2020-02-01
0,0.00,,,,80 이상,2020-02-02,2020-02-02
0,0.00,,,,80 이상,2020-02-03,2020-02-03
0,0.00,,,,80 이상,2020-02-04,2020-02-04
0,0.00,,,,80 이상,2020-02-05,2020-02-05
0,0.00,,,,80 이상,2020-02-06,2020-02-06
0,0.00,,,,80 이상,2020-02-07,2020-02-07
0,0.00,,,,80 이상,2020-02-08,2020-02-08
0,0.00,,,,80 이상,2020-02-09,2020-02-09
0,0.00,,,,80 이상,2020-02-10,2020-02-10
0,0.00,,,,80 이상,2020-02-11,2020-02-11
0,0.00,,,,80 이상,2020-02-12,2020-02-12
0,0.00,,,,80 이상,2020-02-13,2020-02-13
0,0.00,,,,80 이상,2020-02-14,2020-02-14
0,0.00,,,,80 이상,2020-02-15,2020-02-15
1,3.33,,,,80 이상,2020-02-16,2020-02-16
1,3.33,,,,80 이상,2020-02-17,2020-02-17
1,3.13,,,,80 이상,2020-02-18,2020-02-18
1,1.52,,,,80 이상,2020-02-19,2020-02-19
1,1.22,0.00,0,0.00,80 이상,2020-02-20,2020-02-20
2,1.28,0.00,0,0.00,80 이상,2020-02-21,2020-02-21
3,0.87,0.00,0,0.00,80 이상,2020-02-22,2020-02-22
6,1.08,0.00,0,0.00,80 이상,2020-02-23,2020-02-23
8,1.05,0.00,0,0.00,80 이상,2020-02-24,2020-02-24
9,1.01,0.00,0,0.00,80 이상,2020-02-25,2020-02-25
14,1.22,0.00,0,0.00,80 이상,2020-02-26,2020-02-26
19,1.19,0.00,0,0.00,80 이상,2020-02-27,2020-02-27
29,1.43,0.00,0,0.00,80 이상,2020-02-28,2020-02-28
54,1.84,1.85,1,6.25,80 이상,2020-02-29,2020-02-29
63,1.79,1.59,1,5.88,80 이상,2020-03-01,2020-03-01
78,1.85,5.13,4,17.39,80 이상,2020-03-02,2020-03-02
90,1.87,5.56,5,17.86,80 이상,2020-03-03,2020-03-03
105,1.97,5.71,6,18.75,80 이상,2020-03-04,2020-03-04
122,2.12,5.74,7,20.00,80 이상,2020-03-05,2020-03-05
166,2.64,6.02,10,23.81,80 이상,2020-03-06,2020-03-06
189,2.79,6.35,12,27.27,80 이상,2020-03-07,2020-03-07
210,2.94,6.67,14,28.00,80 이상,2020-03-08,2020-03-08
215,2.91,6.51,14,27.45,80 이상,2020-03-09,2020-03-09
221,2.94,6.79,15,27.78,80 이상,2020-03-10,2020-03-10
235,3.03,7.23,17,28.33,80 이상,2020-03-11,2020-03-11
243,3.09,8.23,20,30.30,80 이상,2020-03-12,2020-03-12
252,3.16,8.33,21,31.34,80 이상,2020-03-13,2020-03-13
260,3.22,8.85,23,31.94,80 이상,2020-03-14,2020-03-14
262,3.21,9.54,25,33.33,80 이상,2020-03-15,2020-03-15
269,3.27,9.29,25,33.33,80 이상,2020-03-16,2020-03-16
273,3.28,10.26,28,34.57,80 이상,2020-03-17,2020-03-17
285,3.39,10.88,31,36.90,80 이상,2020-03-18,2020-03-18
