confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
36052,49.05,1.78,640,49.23,남성,2021-01-20,2021-01-20
36235,49.03,1.79,650,49.39,남성,2021-01-21,2021-01-21
36403,49.03,1.81,659,49.62,남성,2021-01-22,2021-01-22
36611,49.02,1.81,664,49.66,남성,2021-01-23,2021-01-23
36809,49.03,1.82,669,49.59,남성,2021-01-24,2021-01-24
37043,49.06,1.82,673,49.49,남성,2021-01-25,2021-01-25
37199,49.04,1.83,681,49.67,남성,2021-01-26,2021-01-26
37478,49.04,1.82,683,49.56,남성,2021-01-27,2021-01-27
37752,49.08,1.82,686,49.49,남성,2021-01-28,2021-01-28
37967,49.06,1.83,693,49.54,남성,2021-01-29,2021-01-29
38191,49.06,1.83,700,49.50,남성,2021-01-30,2021-01-30
38374,49.07,1.83,703,49.51,남성,2021-01-31,2021-01-31
38521,49.07,1.83,706,49.54,남성,2021-02-01,2021-02-01
38708,49.10,1.83,709,49.41,남성,2021-02-02,2021-02-02
38959,49.13,1.83,713,49.48,남성,2021-02-03,2021-02-03
39171,49.11,1.83,717,49.52,남성,2021-02-04,2021-02-04
39356,49.12,1.83,722,49.49,남성,2021-02-05,2021-02-05
39553,49.12,1.83,724,49.45,남성,2021-02-06,2021-02-06
39767,49.16,1.84,730,49.63,남성,2021-02-07,2021-02-07
39919,49.18,1.83,732,49.66,남성,2021-02-08,2021-02-08
40077,49.19,1.84,736,49.66,남성,2021-02-09,2021-02-09
40327,49.23,1.83,739,49.73,남성,2021-02-10,2021-02-10
40571,49.22,1.84,745,49.80,남성,2021-02-11,2021-02-11
40770,49.22,1.84,749,49.70,남성,2021-02-12,2021-02-12
40957,49.23,1.84,752,49.67,남성,2021-02-13,2021-02-13
41117,49.23,1.84,756,49.67,남성,2021-02-14,2021-02-14
41283,49.23,1.84,758,49.64,남성,2021-02-15,2021-02-15
41531,49.26,1.83,762,49.67,남성,2021-02-16,2021-02-16
41836,49.25,1.83,764,49.67,남성,2021-02-17,2021-02-17
42156,49.27,1.82,769,49.81,남성,2021-02-18,2021-02-18
42423,49.26,1.82,772,49.81,남성,2021-02-19,2021-02-19
42661,49.28,1.81,773,49.77,남성,2021-02-20,2021-02-20
42864,49.28,1.81,775,49.78,남성,2021-02-21,2021-02-21
43025,49.28,1.81,777,49.74,남성,2021-02-22,2021-02-22
43216,49.29,1.81,782,49.71,남성,2021-02-23,2021-02-23
43424,49.28,1.81,784,49.75,남성,2021-02-24,2021-02-24
43624,49.29,1.80,786,49.72,남성,2021-02-25,2021-02-25
43819,49.29,1.80,787,49.65,남성,2021-02-26,2021-02-26
44029,49.30,1.80,794,49.78,남성,2021-02-27,2021-02-27
44211,49.31,1.81,800,49.91,남성,2021-02-28,2021-02-28
44395,49.32,1.80,800,49.84,남성,2021-03-01,2021-03-01
44567,49.32,1.80,800,49.81,남성,2021-03-02,2021-03-02
44826,49.36,1.79,804,49.88,남성,2021-03-03,2021-03-03
45056,49.39,1.79,808,49.91,남성,2021-03-04,2021-03-04
45268,49.40,1.79,811,49.85,남성,2021-03-05,2021-03-05
45495,49.43,1.78,812,49.75,남성,2021-03-06,2021-03-06
45713,49.44,1.78,813,49.76,남성,2021-03-07,2021-03-07
45910,49.47,1.78,817,49.76,남성,2021-03-08,2021-03-08
46139,49.48,1.77,818,49.73,남성,2021-03-09,2021-03-09
46392,49.50,1.77,821,49.82,남성,2021-03-10,2021-03-10
46625,49.50,1.77,823,49.82,남성,2021-03-11,2021-03-11
46876,49.51,1.76,826,49.70,남성,2021-03-12,2021-03-12
47110,49.50,1.76,829,49.73,남성,2021-03-13,2021-03-13
47347,49.51,1.75,830,49.73,남성,2021-03-14,2021-03-14
47560,49.54,1.75,832,49.67,남성,2021-03-15,2021-03-15
47746,49.54,1.75,834,49.70,남성,2021-03-16,2021-03-16
47988,49.55,1.75,838,49.70,남성,2021-03-17,2021-03-17
48232,49.58,1.74,838,49.64,남성,2021-03-18,2021-03-18
48462,49.58,1.73,840,49.70,남성,2021-03-19,2021-03-19
48701,49.60,1.73,841,49.68,남성,2021-03-20,2021-03-20
48947,49.62,1.72,843,49.71,남성,2021-03-21,2021-03-21
49155,49.62,1.71,843,49.68,남성,2021-03-22,2021-03-22
49311,49.60,1.72,846,49.65,남성,2021-03-23,2021-03-23
49540,49.62,1.71,848,49.68,남성,2021-03-24,2021-03-24
49766,49.63,1.71,850,49.74,남성,2021-03-25,2021-03-25
50004,49.63,1.70,852,49.65,남성,2021-03-26,2021-03-26
50249,49.62,1.71,857,49.80,남성,2021-03-27,2021-03-27
50502,49.64,1.70,858,49.83,남성,2021-03-28,2021-03-28
