confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
94950,14.95,0.01,12,0.21,20-29,2022-01-01,2022-01-01
92150,14.51,0.3,277,4.92,50-59,2022-01-01,2022-01-01
92347,14.54,0.04,35,0.62,30-39,2022-01-01,2022-01-01
90422,14.23,0.95,863,15.34,60-69,2022-01-01,2022-01-01
38608,6.08,3.94,1521,27.04,70-79,2022-01-01,2022-01-01
92810,14.61,0.08,77,1.37,40-49,2022-01-01,2022-01-01
20618,3.25,13.76,2837,50.44,80 이상,2022-01-01,2022-01-01
330363,52,0.88,2896,51.48,남성,2022-01-01,2022-01-01
304890,48,0.9,2729,48.52,여성,2022-01-01,2022-01-01
49825,7.84,0.01,3,0.05,0-9,2022-01-01,2022-01-01
63523,10,0,0,0.00,10-19,2022-01-01,2022-01-01
90880,14.22,0.97,885,15.54,60-69,2022-01-02,2022-01-02
332264,51.99,0.88,2932,51.49,남성,2022-01-02,2022-01-02
63989,10.01,0,0,0.00,10-19,2022-01-02,2022-01-02
20695,3.24,13.82,2861,50.25,80 이상,2022-01-02,2022-01-02
92648,14.5,0.3,279,4.90,50-59,2022-01-02,2022-01-02
38763,6.07,3.98,1541,27.06,70-79,2022-01-02,2022-01-02
93405,14.62,0.08,77,1.35,40-49,2022-01-02,2022-01-02
95429,14.93,0.01,13,0.23,20-29,2022-01-02,2022-01-02
50345,7.88,0.01,3,0.05,0-9,2022-01-02,2022-01-02
92929,14.54,0.04,35,0.61,30-39,2022-01-02,2022-01-02
306819,48.01,0.9,2762,48.51,여성,2022-01-02,2022-01-02
95818,14.92,0.01,13,0.23,20-29,2022-01-03,2022-01-03
91227,14.21,0.98,891,15.55,60-69,2022-01-03,2022-01-03
50834,7.92,0.01,3,0.05,0-9,2022-01-03,2022-01-03
64376,10.02,0.00,0,0.00,10-19,2022-01-03,2022-01-03
20756,3.23,13.87,2878,50.23,80 이상,2022-01-03,2022-01-03
93897,14.62,0.08,78,1.36,40-49,2022-01-03,2022-01-03
93010,14.48,0.30,279,4.87,50-59,2022-01-03,2022-01-03
333853,51.99,0.88,2947,51.43,남성,2022-01-03,2022-01-03
93403,14.54,0.04,37,0.65,30-39,2022-01-03,2022-01-03
38886,6.06,3.99,1551,27.07,70-79,2022-01-03,2022-01-03
308354,48.01,0.90,2783,48.57,여성,2022-01-03,2022-01-03
96241,14.92,0.01,13,0.22,20-29,2022-01-04,2022-01-04
335410,51.98,0.89,2971,51.39,남성,2022-01-04,2022-01-04
64732,10.03,0.00,0,0.00,10-19,2022-01-04,2022-01-04
93403,14.48,0.30,282,4.88,50-59,2022-01-04,2022-01-04
20821,3.23,13.92,2898,50.13,80 이상,2022-01-04,2022-01-04
38984,6.04,4.02,1569,27.14,70-79,2022-01-04,2022-01-04
51249,7.94,0.01,3,0.05,0-9,2022-01-04,2022-01-04
93877,14.55,0.04,37,0.64,30-39,2022-01-04,2022-01-04
94355,14.62,0.08,80,1.38,40-49,2022-01-04,2022-01-04
309816,48.02,0.91,2810,48.61,여성,2022-01-04,2022-01-04
91564,14.19,0.98,899,15.55,60-69,2022-01-04,2022-01-04
65287,10.05,0.00,0,0.00,10-19,2022-01-05,2022-01-05
95112,14.64,0.08,80,1.37,40-49,2022-01-05,2022-01-05
96819,14.90,0.01,13,0.22,20-29,2022-01-05,2022-01-05
20929,3.22,13.94,2918,49.98,80 이상,2022-01-05,2022-01-05
94631,14.57,0.04,37,0.63,30-39,2022-01-05,2022-01-05
92004,14.16,0.99,912,15.62,60-69,2022-01-05,2022-01-05
51771,7.97,0.01,3,0.05,0-9,2022-01-05,2022-01-05
312013,48.03,0.91,2835,48.56,여성,2022-01-05,2022-01-05
39153,6.03,4.07,1593,27.29,70-79,2022-01-05,2022-01-05
93963,14.46,0.30,282,4.83,50-59,2022-01-05,2022-01-05
337656,51.97,0.89,3003,51.44,남성,2022-01-05,2022-01-05
94469,14.45,0.30,284,4.82,50-59,2022-01-06,2022-01-06
92411,14.13,1.00,923,15.68,60-69,2022-01-06,2022-01-06
39283,6.01,4.10,1610,27.35,70-79,2022-01-06,2022-01-06
339743,51.96,0.89,3035,51.55,남성,2022-01-06,2022-01-06
95262,14.57,0.04,38,0.65,30-39,2022-01-06,2022-01-06
97431,14.90,0.01,13,0.22,20-29,2022-01-06,2022-01-06
21018,3.21,13.96,2935,49.86,80 이상,2022-01-06,2022-01-06
65794,10.06,0.00,0,0.00,10-19,2022-01-06,2022-01-06
314049,48.04,0.91,2852,48.45,여성,2022-01-06,2022-01-06
95799,14.65,0.08,81,1.38,40-49,2022-01-06,2022-01-06
52325,8.00,0.01,3,0.05,0-9,2022-01-06,2022-01-06
315878,48.04,0.91,2874,48.45,여성,2022-01-07,2022-01-07
341630,51.96,0.90,3058,51.55,남성,2022-01-07,2022-01-07
39394,5.99,4.12,1625,27.39,70-79,2022-01-07,2022-01-07
21105,3.21,13.98,2950,49.73,80 이상,2022-01-07,2022-01-07
96403,14.66,0.08,81,1.37,40-49,2022-01-07,2022-01-07
52769,8.03,0.01,3,0.05,0-9,2022-01-07,2022-01-07
92763,14.11,1.01,935,15.76,60-69,2022-01-07,2022-01-07
98000,14.90,0.01,13,0.22,20-29,2022-01-07,2022-01-07
66248,10.08,0.00,0,0.00,10-19,2022-01-07,2022-01-07
95875,14.58,0.04,38,0.64,30-39,2022-01-07,2022-01-07
94951,14.44,0.30,287,4.84,50-59,2022-01-07,2022-01-07
