confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
104631,14.68,0.04,41,0.63,30-39,2022-01-20,2022-01-20
105732,14.70,0.04,41,0.63,30-39,2022-01-21,2022-01-21
106817,14.71,0.04,41,0.63,30-39,2022-01-22,2022-01-22
107950,14.71,0.04,41,0.63,30-39,2022-01-23,2022-01-23
109057,14.71,0.04,42,0.64,30-39,2022-01-24,2022-01-24
109057,14.71,0.04,42,0.64,30-39,2022-01-24,2022-01-24
110391,14.72,0.04,42,0.64,30-39,2022-01-25,2022-01-25
112437,14.74,0.04,43,0.65,30-39,2022-01-26,2022-01-26
114519,14.73,0.04,43,0.65,30-39,2022-01-27,2022-01-27
116845,14.72,0.04,44,0.66,30-39,2022-01-28,2022-01-28
119418,14.72,0.04,44,0.66,30-39,2022-01-29,2022-01-29
122029,14.73,0.04,44,0.65,30-39,2022-01-30,2022-01-30
124602,14.73,0.04,44,0.65,30-39,2022-01-31,2022-01-31
127192,14.72,0.04,45,0.66,30-39,2022-02-01,2022-02-01
130139,14.72,0.03,45,0.66,30-39,2022-02-02,2022-02-02
133652,14.73,0.03,45,0.66,30-39,2022-02-03,2022-02-03
137813,14.74,0,45,0.66,30-39,2022-02-04,2022-02-04
143334,14.76,0.03,45,0.66,30-39,2022-02-05,2022-02-05
149008,14.76,0.03,45,0.65,30-39,2022-02-06,2022-02-06
154208,14.76,0.03,45,0.65,30-39,2022-02-07,2022-02-07
159548,14.75,0.03,45,0.65,30-39,2022-02-08,2022-02-08
166826,14.75,0.03,45,0.65,30-39,2022-02-09,2022-02-09
174728,14.74,0.03,46,0.66,30-39,2022-02-10,2022-02-10
182905,14.76,0.03,46,0.66,30-39,2022-02-11,2022-02-11
190920,14.75,0.02,46,0.65,30-39,2022-02-12,2022-02-12
198888,14.73,0.02,46,0.65,30-39,2022-02-13,2022-02-13
206672,15,0.02,46,1,30-39,2022-02-14,2022-02-14
215183,15,0.02,46,1,30-39,2022-02-15,2022-02-15
228747,15,0.02,46,1,30-39,2022-02-16,2022-02-16
242915,15,0.02,47,1,30-39,2022-02-17,2022-02-17
260324,15,0.02,47,1,30-39,2022-02-18,2022-02-18
275785,14.84,0.02,48,0.65,30-39,2022-02-19,2022-02-19
291216,14.84,0.02,48,0.65,30-39,2022-02-20,2022-02-20
305256,14.83,0.02,48,0.64,30-39,2022-02-21,2022-02-21
320858,15,0.01,48,1,30-39,2022-02-22,2022-02-22
348127,14.95,0.01,50,0.66,30-39,2022-02-23,2022-02-23
375247,15,0,50,1,30-39,2022-02-24,2022-02-24
401911,15.08,0.01,50,0.64,30-39,2022-02-25,2022-02-25
427652,15,0,50,1,30-39,2022-02-26,2022-02-26
452554,15,0,50,1,30-39,2022-02-27,2022-02-27
473618,15.11,0.01,50,0.62,30-39,2022-02-28,2022-02-28
495649,15.14,0.01,51,0.62,30-39,2022-03-01,2022-03-01
530071,15.18,0.01,52,0.63,30-39,2022-03-02,2022-03-02
561651,15.21,0.01,53,0.63,30-39,2022-03-03,2022-03-03
604429,15.27,0.01,54,0.63,30-39,2022-03-04,2022-03-04
642113,15.24,0.01,55,0.63,30-39,2022-03-05,2022-03-05
677572,15.2,0.01,56,0.63,30-39,2022-03-06,2022-03-06
707317,15.16,0.01,58,0.64,30-39,2022-03-07,2022-03-07
736683,15.13,0.01,59,0.64,30-39,2022-03-08,2022-03-08
785557,15,0,60,1,30-39,2022-03-09,2022-03-09
833643,15.05,0.01,61,0.63,30-39,2022-03-10,2022-03-10
877213,15.07,0.01,61,0.62,30-39,2022-03-11,2022-03-11
933232,15.04,0.01,61,0.60,30-39,2022-03-12,2022-03-12
982283,14.98,0.01,61,0.59,30-39,2022-03-13,2022-03-13
1026686,14.95,0.01,62,0.59,30-39,2022-03-14,2022-03-14
1080848,14.95,0.01,63,0.58,30-39,2022-03-15,2022-03-15
1138682,14.93,0.01,64,0.58,30-39,2022-03-16,2022-03-16
1230446,14.91,0.01,64,0.56,30-39,2022-03-17,2022-03-17
1289849,14.9,0.01,65,0.55,30-39,2022-03-18,2022-03-18
1342892,14.86,0.00,67,0.55,30-39,2022-03-19,2022-03-19
1342892,14.86,0.00,67,0.55,30-39,2022-03-19,2022-03-19
1388513,14.81,0,68,0.55,30-39,2022-03-20,2022-03-20
1419630,14.81,0,69,0.54,30-39,2022-03-21,2022-03-21
1472738,14.82,0.00,69,0.53,30-39,2022-03-22,2022-03-22
1544430,14.81,0.00,70,0.52,30-39,2022-03-23,2022-03-23
1605056,14.83,0.00,73,0.53,30-39,2022-03-24,2022-03-24
1655933,14.84,0.00,75,0.52,30-39,2022-03-25,2022-03-25
1702800,14.81,0,77,0.53,30-39,2022-03-26,2022-03-26
1746404,14.78,0,77,0.52,30-39,2022-03-27,2022-03-27
1774129,14.78,0.00,77,0.51,30-39,2022-03-28,2022-03-28
1826027,14.79,0.00,77,0.50,30-39,2022-03-29,2022-03-29
1888306,14.78,0.00,80,0.50,30-39,2022-03-30,2022-03-30
1937039,14.79,0.00,83,0.51,30-39,2022-03-31,2022-03-31
1978262,14.79,0.00,85,0.51,30-39,2022-04-01,2022-04-01
2014832,15,0,85,0,30-39,2022-04-02,2022-04-02
2047035,15,0,85,0,30-39,2022-04-03,2022-04-03
2066418,14.76,0,85,0.49,30-39,2022-04-04,2022-04-04
2066418,14.76,0.00,85,0.49,30-39,2022-04-04,2022-04-04
2106203,14.76,0,85,0.48,30-39,2022-04-05,2022-04-05
