new_age_group,date,confirmed_cases,new_confirmed_cases
0-19,2020-01-20,0,0
0-19,2020-01-21,0,0
0-19,2020-01-22,0,0
0-19,2020-01-23,0,0
0-19,2020-01-24,0,0
0-19,2020-01-25,0,0
0-19,2020-01-26,0,0
0-19,2020-01-27,0,0
0-19,2020-01-28,0,0
0-19,2020-01-29,0,0
0-19,2020-01-30,0,0
0-19,2020-01-31,0,0
0-19,2020-02-01,0,0
0-19,2020-02-02,0,0
0-19,2020-02-03,0,0
0-19,2020-02-04,0,0
0-19,2020-02-05,0,0
0-19,2020-02-06,0,0
0-19,2020-02-07,0,0
0-19,2020-02-08,0,0
0-19,2020-02-09,0,0
0-19,2020-02-10,0,0
0-19,2020-02-11,0,0
0-19,2020-02-12,0,0
0-19,2020-02-13,0,0
0-19,2020-02-14,0,0
0-19,2020-02-15,0,0
0-19,2020-02-16,0,0
0-19,2020-02-17,0,0
0-19,2020-02-18,1,1
0-19,2020-02-19,1,0
0-19,2020-02-20,2,1
0-19,2020-02-21,3,1
0-19,2020-02-22,8,5
0-19,2020-02-23,13,5
0-19,2020-02-24,20,7
0-19,2020-02-25,26,6
0-19,2020-02-26,34,8
0-19,2020-02-27,60,26
0-19,2020-02-28,88,28
0-19,2020-02-29,118,30
0-19,2020-03-01,167,49
0-19,2020-03-02,201,34
0-19,2020-03-03,241,40
0-19,2020-03-04,270,29
0-19,2020-03-05,299,29
0-19,2020-03-06,341,42
0-19,2020-03-07,382,41
0-19,2020-03-08,421,39
0-19,2020-03-09,447,26
0-19,2020-03-10,460,13
0-19,2020-03-11,480,20
0-19,2020-03-12,488,8
0-19,2020-03-13,498,10
0-19,2020-03-14,505,7
0-19,2020-03-15,510,5
0-19,2020-03-16,517,7
0-19,2020-03-17,522,5
0-19,2020-03-18,525,3
0-19,2020-03-19,535,10
0-19,2020-03-20,549,14
0-19,2020-03-21,556,7
0-19,2020-03-22,561,5
0-19,2020-03-23,563,2
0-19,2020-03-24,573,10
0-19,2020-03-25,580,7
0-19,2020-03-26,594,14
0-19,2020-03-27,604,10
0-19,2020-03-28,610,6
0-19,2020-03-29,619,9
0-19,2020-03-30,625,6
0-19,2020-03-31,628,3
0-19,2020-04-01,635,7
0-19,2020-04-02,641,6
0-19,2020-04-03,649,8
0-19,2020-04-04,652,3
0-19,2020-04-05,659,7
0-19,2020-04-06,668,9
0-19,2020-04-07,670,2
0-19,2020-04-08,674,4
0-19,2020-04-09,680,6
0-19,2020-04-10,682,2
0-19,2020-04-11,688,6
0-19,2020-04-12,691,3
0-19,2020-04-13,694,3
0-19,2020-04-14,697,3
0-19,2020-04-15,701,4
0-19,2020-04-16,707,6
0-19,2020-04-17,712,5
0-19,2020-04-18,714,2
0-19,2020-04-19,716,2
0-19,2020-04-20,719,3
0-19,2020-04-21,721,2
0-19,2020-04-22,722,1
0-19,2020-04-23,723,1
0-19,2020-04-24,724,1
0-19,2020-04-25,726,2
0-19,2020-04-26,727,1
0-19,2020-04-27,729,2
0-19,2020-04-28,731,2
0-19,2020-04-29,731,0
0-19,2020-04-30,731,0
0-19,2020-05-01,731,0
0-19,2020-05-02,731,0
0-19,2020-05-03,732,1
0-19,2020-05-04,732,0
0-19,2020-05-05,732,0
0-19,2020-05-06,732,0
0-19,2020-05-07,733,1
0-19,2020-05-08,734,1
0-19,2020-05-09,736,2
0-19,2020-05-10,739,3
0-19,2020-05-11,740,1
0-19,2020-05-12,745,5
0-19,2020-05-13,747,2
0-19,2020-05-14,758,11
0-19,2020-05-15,763,5
0-19,2020-05-16,767,4
0-19,2020-05-17,768,1
0-19,2020-05-18,769,1
0-19,2020-05-19,770,1
0-19,2020-05-20,777,7
0-19,2020-05-21,781,4
0-19,2020-05-22,784,3
0-19,2020-05-23,785,1
0-19,2020-05-24,787,2
0-19,2020-05-25,788,1
0-19,2020-05-26,790,2
0-19,2020-05-27,795,5
0-19,2020-05-28,801,6
0-19,2020-05-29,808,7
0-19,2020-05-30,814,6
0-19,2020-05-31,814,0
0-19,2020-06-01,817,3
0-19,2020-06-02,819,2
0-19,2020-06-03,822,3
0-19,2020-06-04,824,2
0-19,2020-06-05,826,2
0-19,2020-06-06,830,4
0-19,2020-06-07,837,7
0-19,2020-06-08,839,2
0-19,2020-06-09,839,0
0-19,2020-06-10,842,3
0-19,2020-06-11,846,4
0-19,2020-06-12,849,3
0-19,2020-06-13,851,2
0-19,2020-06-14,851,0
0-19,2020-06-15,853,2
0-19,2020-06-16,856,3
0-19,2020-06-17,859,3
0-19,2020-06-18,861,2
0-19,2020-06-19,863,2
0-19,2020-06-20,869,6
0-19,2020-06-21,870,1
0-19,2020-06-22,871,1
0-19,2020-06-23,874,3
0-19,2020-06-24,877,3
0-19,2020-06-25,880,3
0-19,2020-06-26,882,2
0-19,2020-06-27,885,3
0-19,2020-06-28,890,5
0-19,2020-06-29,894,4
0-19,2020-06-30,900,6
0-19,2020-07-01,902,2
0-19,2020-07-02,906,4
0-19,2020-07-03,917,11
0-19,2020-07-04,922,5
0-19,2020-07-05,928,6
0-19,2020-07-06,934,6
0-19,2020-07-07,937,3
0-19,2020-07-08,941,4
0-19,2020-07-09,947,6
0-19,2020-07-10,953,6
0-19,2020-07-11,954,1
0-19,2020-07-12,962,8
0-19,2020-07-13,969,7
0-19,2020-07-14,973,4
0-19,2020-07-15,975,2
0-19,2020-07-16,983,8
0-19,2020-07-17,987,4
0-19,2020-07-18,994,7
0-19,2020-07-19,999,5
0-19,2020-07-20,1003,4
0-19,2020-07-21,1005,2
0-19,2020-07-22,1012,7
0-19,2020-07-23,1016,4
0-19,2020-07-24,1018,2
0-19,2020-07-25,1020,2
0-19,2020-07-26,1020,0
0-19,2020-07-27,1022,2
0-19,2020-07-28,1026,4
0-19,2020-07-29,1027,1
0-19,2020-07-30,1027,0
0-19,2020-07-31,1028,1
0-19,2020-08-01,1029,1
0-19,2020-08-02,1031,2
0-19,2020-08-03,1036,5
0-19,2020-08-04,1045,9
0-19,2020-08-05,1049,4
0-19,2020-08-06,1053,4
0-19,2020-08-07,1057,4
0-19,2020-08-08,1059,2
0-19,2020-08-09,1064,5
0-19,2020-08-10,1064,0
0-19,2020-08-11,1064,0
0-19,2020-08-12,1072,8
0-19,2020-08-13,1080,8
0-19,2020-08-14,1094,14
0-19,2020-08-15,1108,14
0-19,2020-08-16,1134,26
0-19,2020-08-17,1152,18
0-19,2020-08-18,1175,23
0-19,2020-08-19,1206,31
0-19,2020-08-20,1253,47
0-19,2020-08-21,1278,25
0-19,2020-08-22,1308,30
0-19,2020-08-23,1359,51
0-19,2020-08-24,1381,22
0-19,2020-08-25,1414,33
0-19,2020-08-26,1440,26
0-19,2020-08-27,1476,36
0-19,2020-08-28,1510,34
0-19,2020-08-29,1544,34
0-19,2020-08-30,1566,22
0-19,2020-08-31,1587,21
0-19,2020-09-01,1618,31
0-19,2020-09-02,1640,22
0-19,2020-09-03,1654,14
0-19,2020-09-04,1670,16
0-19,2020-09-05,1679,9
0-19,2020-09-06,1690,11
0-19,2020-09-07,1698,8
0-19,2020-09-08,1711,13
0-19,2020-09-09,1725,14
0-19,2020-09-10,1741,16
0-19,2020-09-11,1747,6
0-19,2020-09-12,1756,9
0-19,2020-09-13,1763,7
0-19,2020-09-14,1768,5
0-19,2020-09-15,1782,14
0-19,2020-09-16,1786,4
0-19,2020-09-17,1799,13
0-19,2020-09-18,1806,7
0-19,2020-09-19,1812,6
0-19,2020-09-20,1817,5
0-19,2020-09-21,1822,5
0-19,2020-09-22,1825,3
0-19,2020-09-23,1833,8
0-19,2020-09-24,1843,10
0-19,2020-09-25,1851,8
0-19,2020-09-26,1858,7
0-19,2020-09-27,1862,4
0-19,2020-09-28,1870,8
0-19,2020-09-29,1874,4
0-19,2020-09-30,1884,10
0-19,2020-10-01,1894,10
0-19,2020-10-02,1903,9
0-19,2020-10-03,1905,2
0-19,2020-10-04,1909,4
0-19,2020-10-05,1912,3
0-19,2020-10-06,1925,13
0-19,2020-10-07,1928,3
0-19,2020-10-08,1939,11
0-19,2020-10-09,1951,12
0-19,2020-10-10,1955,4
0-19,2020-10-11,1959,4
0-19,2020-10-12,1969,10
0-19,2020-10-13,1981,12
0-19,2020-10-14,1992,11
0-19,2020-10-15,2000,8
0-19,2020-10-16,2002,2
0-19,2020-10-17,2006,4
0-19,2020-10-18,2012,6
0-19,2020-10-19,2017,5
0-19,2020-10-20,2023,6
0-19,2020-10-21,2028,5
0-19,2020-10-22,2032,4
0-19,2020-10-23,2045,13
0-19,2020-10-24,2059,14
0-19,2020-10-25,2071,12
0-19,2020-10-26,2082,11
0-19,2020-10-27,2091,9
0-19,2020-10-28,2101,10
0-19,2020-10-29,2120,19
0-19,2020-10-30,2137,17
0-19,2020-10-31,2149,12
0-19,2020-11-01,2168,19
0-19,2020-11-02,2184,16
0-19,2020-11-03,2192,8
0-19,2020-11-04,2197,5
0-19,2020-11-05,2206,9
0-19,2020-11-06,2222,16
0-19,2020-11-07,2228,6
0-19,2020-11-08,2235,7
0-19,2020-11-09,2244,9
0-19,2020-11-10,2256,12
0-19,2020-11-11,2267,11
0-19,2020-11-12,2286,19
0-19,2020-11-13,2302,16
0-19,2020-11-14,2328,26
0-19,2020-11-15,2349,21
0-19,2020-11-16,2366,17
0-19,2020-11-17,2389,23
0-19,2020-11-18,2409,20
0-19,2020-11-19,2475,66
0-19,2020-11-20,2521,46
0-19,2020-11-21,2572,51
0-19,2020-11-22,2609,37
0-19,2020-11-23,2653,44
0-19,2020-11-24,2686,33
0-19,2020-11-25,2728,42
0-19,2020-11-26,2806,78
0-19,2020-11-27,2867,61
0-19,2020-11-28,2918,51
0-19,2020-11-29,2972,54
0-19,2020-11-30,3042,70
0-19,2020-12-01,3104,62
0-19,2020-12-02,3166,62
0-19,2020-12-03,3238,72
0-19,2020-12-04,3309,71
0-19,2020-12-05,3384,75
0-19,2020-12-06,3436,52
0-19,2020-12-07,3481,45
0-19,2020-12-08,3536,55
0-19,2020-12-09,3599,63
0-19,2020-12-10,3689,90
0-19,2020-12-11,3768,79
0-19,2020-12-12,3906,138
0-19,2020-12-13,4016,110
0-19,2020-12-14,4101,85
0-19,2020-12-15,4195,94
0-19,2020-12-16,4309,114
0-19,2020-12-17,4420,111
0-19,2020-12-18,4526,106
0-19,2020-12-19,4624,98
0-19,2020-12-20,4742,118
0-19,2020-12-21,4833,91
0-19,2020-12-22,4920,87
0-19,2020-12-23,5028,108
0-19,2020-12-24,5133,105
0-19,2020-12-25,5246,113
0-19,2020-12-26,5373,127
0-19,2020-12-27,5470,97
0-19,2020-12-28,5555,85
0-19,2020-12-29,5648,93
0-19,2020-12-30,5744,96
0-19,2020-12-31,5860,116
0-19,2021-01-01,5975,115
0-19,2021-01-02,6080,105
0-19,2021-01-03,6158,78
0-19,2021-01-04,6269,111
0-19,2021-01-05,6356,87
0-19,2021-01-06,6461,105
0-19,2021-01-07,6557,96
0-19,2021-01-08,6634,77
0-19,2021-01-09,6716,82
0-19,2021-01-10,6808,92
0-19,2021-01-11,6863,55
0-19,2021-01-12,6929,66
0-19,2021-01-13,6981,52
0-19,2021-01-14,7051,70
0-19,2021-01-15,7130,79
0-19,2021-01-16,7221,91
0-19,2021-01-17,7278,57
0-19,2021-01-18,7326,48
0-19,2021-01-19,7375,49
0-19,2021-01-20,7429,54
0-19,2021-01-21,7471,42
0-19,2021-01-22,7510,39
0-19,2021-01-23,7561,51
0-19,2021-01-24,7597,36
0-19,2021-01-25,7749,152
0-19,2021-01-26,7794,45
0-19,2021-01-27,7933,139
0-19,2021-01-28,8013,80
0-19,2021-01-29,8074,61
0-19,2021-01-30,8149,75
0-19,2021-01-31,8186,37
0-19,2021-02-01,8236,50
0-19,2021-02-02,8275,39
0-19,2021-02-03,8338,63
0-19,2021-02-04,8392,54
0-19,2021-02-05,8450,58
0-19,2021-02-06,8506,56
0-19,2021-02-07,8553,47
0-19,2021-02-08,8581,28
0-19,2021-02-09,8622,41
0-19,2021-02-10,8697,75
0-19,2021-02-11,8752,55
0-19,2021-02-12,8802,50
0-19,2021-02-13,8847,45
0-19,2021-02-14,8888,41
0-19,2021-02-15,8936,48
0-19,2021-02-16,8992,56
0-19,2021-02-17,9062,70
0-19,2021-02-18,9129,67
0-19,2021-02-19,9202,73
0-19,2021-02-20,9265,63
0-19,2021-02-21,9319,54
0-19,2021-02-22,9371,52
0-19,2021-02-23,9413,42
0-19,2021-02-24,9464,51
0-19,2021-02-25,9518,54
0-19,2021-02-26,9558,40
0-19,2021-02-27,9611,53
0-19,2021-02-28,9653,42
0-19,2021-03-01,9714,61
0-19,2021-03-02,9773,59
0-19,2021-03-03,9862,89
0-19,2021-03-04,9918,56
0-19,2021-03-05,9955,37
0-19,2021-03-06,10004,49
0-19,2021-03-07,10053,49
0-19,2021-03-08,10105,52
0-19,2021-03-09,10156,51
0-19,2021-03-10,10221,65
0-19,2021-03-11,10292,71
0-19,2021-03-12,10362,70
0-19,2021-03-13,10408,46
0-19,2021-03-14,10449,41
0-19,2021-03-15,10492,43
0-19,2021-03-16,10533,41
0-19,2021-03-17,10581,48
0-19,2021-03-18,10628,47
0-19,2021-03-19,10684,56
0-19,2021-03-20,10730,46
0-19,2021-03-21,10773,43
