Data Source,Age Group,Peak Infectious,Peak Date
Real,0-19,230.072304373615,2020-03-08
Real,20-49,2299.152704315057,2020-03-07
Real,50-80+,2109.8231099432087,2020-03-09
Real,Total,4603.848180809523,2020-03-08
β Multiplier = 0.27,0-19,80.16405389505206,2020-02-27
β Multiplier = 0.27,20-49,802.0856880744116,2020-02-27
β Multiplier = 0.27,50-80+,961.9214773121951,2020-06-29
β Multiplier = 0.27,Total,1765.1437070677225,2020-06-29
β Multiplier = 0.2,0-19,80.16405389505206,2020-02-27
β Multiplier = 0.2,20-49,802.0856880744116,2020-02-27
β Multiplier = 0.2,50-80+,595.2864341027786,2020-02-29
β Multiplier = 0.2,Total,1476.4091614249646,2020-02-27
