confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date.1
74277,10.42,0.00,0,0.0,10-19,2022-01-20,2022-01-20
75447,10.49,0.00,0,0.0,10-19,2022-01-21,2022-01-21
76700,10.56,0.00,0,0.0,10-19,2022-01-22,2022-01-22
78065,10.64,0.00,0,0.0,10-19,2022-01-23,2022-01-23
79391,10.71,0.00,0,0.0,10-19,2022-01-24,2022-01-24
79391,10.71,0.00,0,0.0,10-19,2022-01-24,2022-01-24
80964,10.8,0.00,0,0.0,10-19,2022-01-25,2022-01-25
83385,10.93,0.00,0,0.0,10-19,2022-01-26,2022-01-26
86193,11.09,0.00,0,0.0,10-19,2022-01-27,2022-01-27
89130,11.23,0.00,0,0.0,10-19,2022-01-28,2022-01-28
92364,11.39,0.00,0,0.0,10-19,2022-01-29,2022-01-29
95594,11.54,0.00,0,0.0,10-19,2022-01-30,2022-01-30
98846,11.69,0.00,0,0.0,10-19,2022-01-31,2022-01-31
102319,11.84,0,0,0.0,10-19,2022-02-01,2022-02-01
105994,11.99,0,0,0.0,10-19,2022-02-02,2022-02-02
109905,12.11,0.00,0,0.0,10-19,2022-02-03,2022-02-03
114276,12.23,0,0,0.0,10-19,2022-02-04,2022-02-04
119709,12.33,0,0,0.0,10-19,2022-02-05,2022-02-05
125584,12.44,0.00,1,0.01,10-19,2022-02-06,2022-02-06
130819,12.52,0.00,1,0.01,10-19,2022-02-07,2022-02-07
136299,12.6,0.00,1,0.01,10-19,2022-02-08,2022-02-08
143810,12.71,0.00,1,0.01,10-19,2022-02-09,2022-02-09
152358,12.85,0.00,1,0.01,10-19,2022-02-10,2022-02-10
160735,12.97,0.00,1,0.01,10-19,2022-02-11,2022-02-11
169619,13.11,0,1,0.01,10-19,2022-02-12,2022-02-12
178882,13.24,0,1,0.01,10-19,2022-02-13,2022-02-13
188083,13.0,0.00,1,0.0,10-19,2022-02-14,2022-02-14
197585,14.0,0.00,1,0.0,10-19,2022-02-15,2022-02-15
211750,14.0,0.00,1,0.0,10-19,2022-02-16,2022-02-16
226548,14.0,0.00,1,0.0,10-19,2022-02-17,2022-02-17
243180,14.0,0.00,1,0.0,10-19,2022-02-18,2022-02-18
258603,13.92,0.00,1,0.01,10-19,2022-02-19,2022-02-19
274158,13.97,0.00,1,0.01,10-19,2022-02-20,2022-02-20
287953,13.99,0,1,0.01,10-19,2022-02-21,2022-02-21
301991,14.0,0.00,1,0.0,10-19,2022-02-22,2022-02-22
323971,13.91,0,1,0.01,10-19,2022-02-23,2022-02-23
346957,14.0,0,1,0.0,10-19,2022-02-24,2022-02-24
368999,13.85,0.00,1,0.01,10-19,2022-02-25,2022-02-25
390319,14.0,0,1,0.0,10-19,2022-02-26,2022-02-26
410879,14.0,0,1,0.0,10-19,2022-02-27,2022-02-27
428677,13.68,0.00,1,0.01,10-19,2022-02-28,2022-02-28
446396,13.64,0.00,1,0.01,10-19,2022-03-01,2022-03-01
474355,13.58,0.00,1,0.01,10-19,2022-03-02,2022-03-02
500488,13.56,0.00,1,0.01,10-19,2022-03-03,2022-03-03
534904,13.51,0.00,1,0.01,10-19,2022-03-04,2022-03-04
572461,13.59,0,1,0.01,10-19,2022-03-05,2022-03-05
605287,13.58,0,1,0.01,10-19,2022-03-06,2022-03-06
634652,13.6,0.00,1,0.01,10-19,2022-03-07,2022-03-07
665554,13.67,0.00,1,0.01,10-19,2022-03-08,2022-03-08
716737,14.0,0,2,0.0,10-19,2022-03-09,2022-03-09
762860,13.77,0.00,2,0.02,10-19,2022-03-10,2022-03-10
802819,13.79,0.00,2,0.02,10-19,2022-03-11,2022-03-11
856881,13.81,0.00,2,0.02,10-19,2022-03-12,2022-03-12
904818,13.8,0.00,2,0.02,10-19,2022-03-13,2022-03-13
947385,13.8,0.00,2,0.02,10-19,2022-03-14,2022-03-14
998753,13.82,0,2,0.02,10-19,2022-03-15,2022-03-15
1055374,13.83,0,2,0.02,10-19,2022-03-16,2022-03-16
1135704,13.77,0,2,0.02,10-19,2022-03-17,2022-03-17
1188545,13.73,0,2,0.02,10-19,2022-03-18,2022-03-18
1239120,13.71,0.00,2,0.02,10-19,2022-03-19,2022-03-19
1239120,13.71,0.00,2,0.02,10-19,2022-03-19,2022-03-19
1282522,13.68,0,8,0.06,10-19,2022-03-20,2022-03-20
1310190,13.67,0,2,0.02,10-19,2022-03-21,2022-03-21
1361043,13.7,0.00,2,0.02,10-19,2022-03-22,2022-03-22
