confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
22198,3.12,14.42,3202,49.41,80 이상,2022-01-20,2022-01-20
22293,3.10,14.40,3211,49.39,80 이상,2022-01-21,2022-01-21
22402,3.08,14.40,3226,49.41,80 이상,2022-01-22,2022-01-22
22584,3.08,14.30,3230,49.39,80 이상,2022-01-23,2022-01-23
22686,3.06,14.30,3244,49.41,80 이상,2022-01-24,2022-01-24
22686,3.06,14.30,3244,49.41,80 이상,2022-01-24,2022-01-24
22778,3.04,14.30,3257,49.44,80 이상,2022-01-25,2022-01-25
22955,3.01,14.24,3268,49.37,80 이상,2022-01-26,2022-01-26
23186,2.98,14.18,3288,49.41,80 이상,2022-01-27,2022-01-27
23407,2.95,14.11,3302,49.45,80 이상,2022-01-28,2022-01-28
23645,2.92,14.05,3322,49.49,80 이상,2022-01-29,2022-01-29
23860,2.88,13.98,3335,49.54,80 이상,2022-01-30,2022-01-30
24064,2.85,13.92,3350,49.59,80 이상,2022-01-31,2022-01-31
24274,2.81,13.84,3360,49.62,80 이상,2022-02-01,2022-02-01
24537,2.77,13.72,3367,49.61,80 이상,2022-02-02,2022-02-02
24797,2.73,13.64,3383,49.66,80 이상,2022-02-03,2022-02-03
25177,2.69,13,3396,49.68,80 이상,2022-02-04,2022-02-04
25830,2.66,13.21,3411,49.74,80 이상,2022-02-05,2022-02-05
26507,2.63,12.90,3419,49.75,80 이상,2022-02-06,2022-02-06
27217,2.60,12.58,3416,49.70,80 이상,2022-02-07,2022-02-07
27886,2.58,12.36,3448,49.81,80 이상,2022-02-08,2022-02-08
28930,2.56,11.97,3464,49.89,80 이상,2022-02-09,2022-02-09
29928,2.52,11.61,3475,49.91,80 이상,2022-02-10,2022-02-10
31043,2.50,11.29,3506,50.00,80 이상,2022-02-11,2022-02-11
32149,2.48,10.97,3527,50.06,80 이상,2022-02-12,2022-02-12
33466,2.48,10.59,3543,50.04,80 이상,2022-02-13,2022-02-13
34454,2,10.32,3557,50,80 이상,2022-02-14,2022-02-14
35397,2,10.15,3593,50,80 이상,2022-02-15,2022-02-15
37059,2,9.76,3618,50,80 이상,2022-02-16,2022-02-16
38761,2,9.40,3643,50,80 이상,2022-02-17,2022-02-17
40644,2,9.05,3677,50,80 이상,2022-02-18,2022-02-18
42719,2.30,8.72,3724,50.64,80 이상,2022-02-19,2022-02-19
44875,2.29,8.37,3758,50.75,80 이상,2022-02-20,2022-02-20
46653,2.27,8.12,3788,50.85,80 이상,2022-02-21,2022-02-21
48492,2,7.90,3830,51,80 이상,2022-02-22,2022-02-22
51828,2.23,7.5,3888,51.11,80 이상,2022-02-23,2022-02-23
55408,2,7,3939,51,80 이상,2022-02-24,2022-02-24
59021,2.21,6.78,4002,51.42,80 이상,2022-02-25,2022-02-25
62876,2,6,4074,52,80 이상,2022-02-26,2022-02-26
66778,2,6,4102,52,80 이상,2022-02-27,2022-02-27
69911,2.23,5.96,4170,51.75,80 이상,2022-02-28,2022-02-28
72931,2.23,5.81,4239,51.88,80 이상,2022-03-01,2022-03-01
78003,2.23,5.52,4307,52.11,80 이상,2022-03-02,2022-03-02
82887,2.25,5.30,4390,52.30,80 이상,2022-03-03,2022-03-03
89073,2.25,5.05,4500,52.45,80 이상,2022-03-04,2022-03-04
95293,2.26,4.86,4636,52.71,80 이상,2022-03-05,2022-03-05
102317,2.3,4.64,4743,52.95,80 이상,2022-03-06,2022-03-06
107732,2.31,4.48,4830,53.10,80 이상,2022-03-07,2022-03-07
112020,2.30,4.41,4940,53.22,80 이상,2022-03-08,2022-03-08
120581,2,4,5034,53,80 이상,2022-03-09,2022-03-09
130016,2.35,3.98,5178,53.68,80 이상,2022-03-10,2022-03-10
136706,2.35,3.90,5328,53.95,80 이상,2022-03-11,2022-03-11
147103,2.37,3.73,5489,54.11,80 이상,2022-03-12,2022-03-12
157245,2.40,3.59,5650,54.35,80 이상,2022-03-13,2022-03-13
165559,2.41,3.48,5759,54.36,80 이상,2022-03-14,2022-03-14
172970,2.39,3.44,5948,54.63,80 이상,2022-03-15,2022-03-15
182768,2.4,3.31,6053,54.77,80 이상,2022-03-16,2022-03-16
201785,2.45,3.13,6317,55.02,80 이상,2022-03-17,2022-03-17
213583,2.47,3.05,6514,55.29,80 이상,2022-03-18,2022-03-18
225401,2.49,2.89,6721,55.54,80 이상,2022-03-19,2022-03-19
225401,2.49,2.89,6721,55.54,80 이상,2022-03-19,2022-03-19
236038,2.52,2.94,6938,55.83,80 이상,2022-03-20,2022-03-20
241554,2.52,2.96,7156,56.09,80 이상,2022-03-21,2022-03-21
249287,2.51,2.96,7377,56.14,80 이상,2022-03-22,2022-03-22
265615,2.55,2.84,7556,56.25,80 이상,2022-03-23,2022-03-23
277437,2.56,2.84,7872,56.62,80 이상,2022-03-24,2022-03-24
288063,2.58,2.81,8102,56.68,80 이상,2022-03-25,2022-03-25
299743,2.61,2.78,8325,56.95,80 이상,2022-03-26,2022-03-26
310680,2.63,2.74,8502,57.06,80 이상,2022-03-27,2022-03-27
315735,2.63,2.75,8687,57.20,80 이상,2022-03-28,2022-03-28
324055,2.62,2.73,8831,57.26,80 이상,2022-03-29,2022-03-29
339623,2.66,2.68,9098,57.38,80 이상,2022-03-30,2022-03-30
349691,2.67,2.67,9331,57.49,80 이상,2022-03-31,2022-03-31
358752,2.68,2.66,9556,57.60,80 이상,2022-04-01,2022-04-01
368692,3,3,9763,58,80 이상,2022-04-02,2022-04-02
377178,3,3,9970,58,80 이상,2022-04-03,2022-04-03
380839,2.72,2.65,10105,57.90,80 이상,2022-04-04,2022-04-04
380839,2.72,2.65,10105,57.90,80 이상,2022-04-04,2022-04-04
387935,2.72,2.64,10234,57.94,80 이상,2022-04-05,2022-04-05
399287,2.74,2.62,10467,58.04,80 이상,2022-04-06,2022-04-06
406877,2.75,2.63,10696,58.19,80 이상,2022-04-07,2022-04-07
414013,2.76,2.64,10947,58.37,80 이상,2022-04-08,2022-04-08
421609,2.78,2.65,11152,58.41,80 이상,2022-04-09,2022-04-09
427988,2.79,2.65,11349,58.44,80 이상,2022-04-10,2022-04-10
430907,2.79,2.67,11510,58.49,80 이상,2022-04-11,2022-04-11
436841,2.79,2.66,11614,58.51,80 이상,2022-04-12,2022-04-12
445454,2.81,2.63,11727,58.54,80 이상,2022-04-13,2022-04-13
450845,2.82,2.65,11927,58.60,80 이상,2022-04-14,2022-04-14
455481,2.83,2.65,12086,58.62,80 이상,2022-04-15,2022-04-15
460169,2.84,2.66,12260,58.69,80 이상,2022-04-16,2022-04-16
464465,2.85,2.67,12401,58.79,80 이상,2022-04-17,2022-04-17
466030,2.85,2.68,12472,58.76,80 이상,2022-04-18,2022-04-18
469746,2.85,2.67,12551,58.78,80 이상,2022-04-19,2022-04-19
474491,2.86,2.67,12658,58.82,80 이상,2022-04-20,2022-04-20
477913,2.87,2.67,12739,58.79,80 이상,2022-04-21,2022-04-21
481037,2.87,2.67,12862,58.80,80 이상,2022-04-22,2022-04-22
484546,2.88,2.67,12957,58.83,80 이상,2022-04-23,2022-04-23
487284,2.88,2.67,13029,58.87,80 이상,2022-04-24,2022-04-24
488470,2.89,2.68,13094,58.87,80 이상,2022-04-25,2022-04-25
491182,2.89,2.68,13144,58.88,80 이상,2022-04-26,2022-04-26
494768,2.9,2.67,13231,58.89,80 이상,2022-04-27,2022-04-27
496980,2.9,2.68,13304,58.90,80 이상,2022-04-28,2022-04-28
498947,2.9,2.68,13391,58.93,80 이상,2022-04-29,2022-04-29
500859,3,3,13426,59,80 이상,2022-04-30,2022-04-30
502354,3,3,13478,59,80 이상,2022-05-01,2022-05-01
503029,2.91,2.69,13533,58.95,80 이상,2022-05-02,2022-05-02
504698,2.91,2.69,13564,58.96,80 이상,2022-05-03,2022-05-03
506829,2.91,2.69,13614,58.99,80 이상,2022-05-04,2022-05-04
508524,2.92,2.69,13667,59.02,80 이상,2022-05-05,2022-05-05
509483,2.92,2.69,13689,58.99,80 이상,2022-05-06,2022-05-06
510918,2.92,2.69,13731,58.96,80 이상,2022-05-07,2022-05-07
512638,2.92,2.69,13773,58.96,80 이상,2022-05-08,2022-05-08
513276,2.92,2.69,13799,58.97,80 이상,2022-05-09,2022-05-09
514729,2.92,2.69,13836,58.97,80 이상,2022-05-10,2022-05-10
516487,2.92,2.68,13857,58.99,80 이상,2022-05-11,2022-05-11
