confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
342309,48.04,0.92,3147,48.56,여성,2022-01-20,2022-01-20
345567,48.04,0.91,3160,48.61,여성,2022-01-21,2022-01-21
349082,48.06,0.91,3174,48.61,여성,2022-01-22,2022-01-22
352861,48.08,0.90,3176,48.56,여성,2022-01-23,2022-01-23
356590,48.10,0.89,3186,48.53,여성,2022-01-24,2022-01-24
356590,48.10,0.89,3186,48.53,여성,2022-01-24,2022-01-24
360908,48.12,0.89,3198,48.54,여성,2022-01-25,2022-01-25
367338,48.14,0.87,3212,48.52,여성,2022-01-26,2022-01-26
374670,48.19,0.86,3234,48.60,여성,2022-01-27,2022-01-27
382930,48.25,0.85,3247,48.62,여성,2022-01-28,2022-01-28
391816,48.31,0.83,3264,48.63,여성,2022-01-29,2022-01-29
400546,48.34,0.82,3275,48.65,여성,2022-01-30,2022-01-30
409175,48.38,0.80,3289,48.69,여성,2022-01-31,2022-01-31
418304,48.41,0.79,3297,48.69,여성,2022-02-01,2022-02-01
428535,48.46,0.77,3303,48.67,여성,2022-02-02,2022-02-02
440369,48.54,0.75,3318,48.71,여성,2022-02-03,2022-02-03
454409,48.62,1,3332,48.74,여성,2022-02-04,2022-02-04
473415,48.75,0.71,3345,48.78,여성,2022-02-05,2022-02-05
493656,48.89,0.68,3349,48.73,여성,2022-02-06,2022-02-06
511918,48.99,0.66,3349,48.73,여성,2022-02-07,2022-02-07
530783,49.07,0.64,3373,48.73,여성,2022-02-08,2022-02-08
556169,49.16,0.61,3386,48.77,여성,2022-02-09,2022-02-09
583982,49.27,0.58,3396,48.77,여성,2022-02-10,2022-02-10
611398,49.33,0.56,3427,48.87,여성,2022-02-11,2022-02-11
639497,49.41,0.54,3445,48.90,여성,2022-02-12,2022-02-12
668376,49.49,0.52,3462,48.89,여성,2022-02-13,2022-02-13
696372,50,0.50,3471,49,여성,2022-02-14,2022-02-14
725401,50,0.48,3503,49,여성,2022-02-15,2022-02-15
771614,50,0.46,3528,49,여성,2022-02-16,2022-02-16
820146,50,0.43,3543,49,여성,2022-02-17,2022-02-17
877098,50,0.41,3567,49,여성,2022-02-18,2022-02-18
930408,50.08,0.39,3610,49.09,여성,2022-02-19,2022-02-19
985110,50.19,0.37,3635,49.09,여성,2022-02-20,2022-02-20
1034782,50.28,0.35,3661,49.14,여성,2022-02-21,2022-02-21
1086051,50,0.34,3694,49,여성,2022-02-22,2022-02-22
1174761,50.44,0.32,3742,49.19,여성,2022-02-23,2022-02-23
1263792,51,0,3787,49,여성,2022-02-24,2022-02-24
1350933,50.69,0.28,3844,49.39,여성,2022-02-25,2022-02-25
1438726,51,0,3898,49,여성,2022-02-26,2022-02-26
1524680,51,0,3928,49,여성,2022-02-27,2022-02-27
1597746,50.97,0.25,3983,49.43,여성,2022-02-28,2022-02-28
1669029,50.99,0.24,4031,49.34,여성,2022-03-01,2022-03-01
1783729,51.07,0.23,4083,49.40,여성,2022-03-02,2022-03-02
1887714,51.14,0.22,4153,49.48,여성,2022-03-03,2022-03-03
2028368,51.24,0.21,4251,49.55,여성,2022-03-04,2022-03-04
2164432,51.38,0.2,4367,49.65,여성,2022-03-05,2022-03-05
2294711,51.49,0.19,4460,49.79,여성,2022-03-06,2022-03-06
2406635,51.57,0.19,4533,49.84,여성,2022-03-07,2022-03-07
2511257,51.57,0.18,4620,49.77,여성,2022-03-08,2022-03-08
2690373,52,0,4707,50,여성,2022-03-09,2022-03-09
2865040,51.72,0.17,4817,49.94,여성,2022-03-10,2022-03-10
3015150,51.78,0.16,4941,50.04,여성,2022-03-11,2022-03-11
3218759,51.86,0.16,5080,50.08,여성,2022-03-12,2022-03-12
3403439,51.91,0.15,5214,50.16,여성,2022-03-13,2022-03-13
3567412,51.96,0.15,5302,50.04,여성,2022-03-14,2022-03-14
3756514,51.97,0.15,5462,50.17,여성,2022-03-15,2022-03-15
3966432,51.99,0.14,5562,50.33,여성,2022-03-16,2022-03-16
4298912,52.1,0.13,5782,50.36,여성,2022-03-17,2022-03-17
4517122,52.18,0.13,5958,50.57,여성,2022-03-18,2022-03-18
4721360,52.23,0.13,6127,50.63,여성,2022-03-19,2022-03-19
4721360,52.23,0.13,6127,50.63,여성,2022-03-19,2022-03-19
