confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
3260030,10.88,0.12,3760,11.35,60-69,2023-01-20,2023-01-20
3745923,12.51,0,20,0.06,10-19,2023-01-20,2023-01-20
13885522,46.35,0.12,16261,49.08,남성,2023-01-20,2023-01-20
3908122,13.05,0.03,1356,4.09,50-59,2023-01-20,2023-01-20
16069844,53.65,0.1,16873,50.92,여성,2023-01-20,2023-01-20
1007066,3.36,1.96,19776,59.68,80 이상,2023-01-20,2023-01-20
3062625,10.22,0,37,0.11,0-9,2023-01-20,2023-01-20
4364611,14.57,0,78,0.24,20-29,2023-01-20,2023-01-20
1660355,5.54,0.45,7505,22.65,70-79,2023-01-20,2023-01-20
4567378,15.25,0.01,450,1.36,40-49,2023-01-20,2023-01-20
4379256,14.62,0,152,0.46,30-39,2023-01-20,2023-01-20
1662951,5.55,0.45,7515,22.65,70-79,2023-01-21,2023-01-21
3064148,10.22,0.00,37,0.11,0-9,2023-01-21,2023-01-21
13897512,46.35,0.12,16285,49.07,남성,2023-01-21,2023-01-21
4571295,15.25,0.01,451,1.36,40-49,2023-01-21,2023-01-21
4368032,14.57,0.00,78,0.24,20-29,2023-01-21,2023-01-21
3747872,12.50,0.00,20,0.06,10-19,2023-01-21,2023-01-21
3264316,10.89,0.12,3765,11.35,60-69,2023-01-21,2023-01-21
16085393,53.65,0.11,16900,50.93,여성,2023-01-21,2023-01-21
3912468,13.05,0.03,1358,4.09,50-59,2023-01-21,2023-01-21
1008838,3.36,1.96,19809,59.69,80 이상,2023-01-21,2023-01-21
4382985,14.62,0.00,152,0.46,30-39,2023-01-21,2023-01-21
3748995,12.5,0,20,0.06,10-19,2023-01-22,2023-01-22
4573822,15.25,0.01,451,1.36,40-49,2023-01-22,2023-01-22
4370092,14.57,0,78,0.23,20-29,2023-01-22,2023-01-22
4385352,14.62,0,152,0.46,30-39,2023-01-22,2023-01-22
3915004,13.05,0.03,1359,4.09,50-59,2023-01-22,2023-01-22
3266784,10.89,0.12,3767,11.34,60-69,2023-01-22,2023-01-22
16094557,53.65,0.11,16910,50.92,여성,2023-01-22,2023-01-22
13904972,46.35,0.12,16299,49.08,남성,2023-01-22,2023-01-22
3065296,10.22,0,37,0.11,0-9,2023-01-22,2023-01-22
1009840,3.37,1.96,19823,59.69,80 이상,2023-01-22,2023-01-22
1664344,5.55,0.45,7522,22.65,70-79,2023-01-22,2023-01-22
1010491,3.4,1.96,19837,59.7,80 이상,2023-01-23,2023-01-23
3749555,12.5,0.00,20,0.1,10-19,2023-01-23,2023-01-23
3268167,10.9,0.12,3772,11.4,60-69,2023-01-23,2023-01-23
3916318,13.0,0.03,1359,4.1,50-59,2023-01-23,2023-01-23
4371207,14.6,0.00,78,0.2,20-29,2023-01-23,2023-01-23
13909384,46.4,0.12,16312,49.1,남성,2023-01-23,2023-01-23
4386770,14.6,0.00,152,0.5,30-39,2023-01-23,2023-01-23
16099372,53.6,0.11,16923,50.9,여성,2023-01-23,2023-01-23
4575155,15.2,0.01,451,1.4,40-49,2023-01-23,2023-01-23
3065883,10.2,0.00,37,0.1,0-9,2023-01-23,2023-01-23
1665210,5.6,0.45,7529,22.7,70-79,2023-01-23,2023-01-23
4372819,14.57,0,78,0.23,20-29,2023-01-24,2023-01-24
3918156,13.05,0.03,1361,4.09,50-59,2023-01-24,2023-01-24
4388722,14.62,0,152,0.46,30-39,2023-01-24,2023-01-24
13915071,46.35,0.12,16318,49.08,남성,2023-01-24,2023-01-24
4577132,15.25,0.01,451,1.36,40-49,2023-01-24,2023-01-24
1011145,3.37,1.96,19843,59.69,80 이상,2023-01-24,2023-01-24
3066796,10.22,0,37,0.11,0-9,2023-01-24,2023-01-24
1666094,5.55,0.45,7531,22.65,70-79,2023-01-24,2023-01-24
3750357,12.49,0,20,0.06,10-19,2023-01-24,2023-01-24
