confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
3062625,10.22,0,37,0.11,0-9,2023-01-20,2023-01-20
3064148,10.22,0.00,37,0.11,0-9,2023-01-21,2023-01-21
3065296,10.22,0,37,0.11,0-9,2023-01-22,2023-01-22
3065883,10.2,0.00,37,0.1,0-9,2023-01-23,2023-01-23
3066796,10.22,0,37,0.11,0-9,2023-01-24,2023-01-24
3068095,10.21,0.00,37,0.11,0-9,2023-01-25,2023-01-25
3070106,10.21,0,37,0.11,0-9,2023-01-26,2023-01-26
3071952,10.2,0.00,37,0.1,0-9,2023-01-27,2023-01-27
3073397,10.2,0,37,0.11,0-9,2023-01-28,2023-01-28
3074590,10.20,0.00,37,0.11,0-9,2023-01-29,2023-01-29
3075213,10.2,0,37,0.11,0-9,2023-01-30,2023-01-30
3076434,10.2,0.00,37,0.1,0-9,2023-01-31,2023-01-31
3077593,10.19,0,37,0.11,0-9,2023-02-01,2023-02-01
3078594,10.19,0.00,37,0.11,0-9,2023-02-02,2023-02-02
3079530,10.19,0,37,0.11,0-9,2023-02-03,2023-02-03
3079530,10.19,0,37,0.11,0-9,2023-02-03,2023-02-03
3080444,10.2,0.00,37,0.1,0-9,2023-02-04,2023-02-04
3081387,10.18,0,37,0.11,0-9,2023-02-05,2023-02-05
3081879,10.18,0.00,37,0.11,0-9,2023-02-06,2023-02-06
3082911,10.18,0.00,37,0.11,0-9,2023-02-07,2023-02-07
3084044,10.2,0.00,37,0.1,0-9,2023-02-08,2023-02-08
3085072,10.18,0.00,37,0.11,0-9,2023-02-09,2023-02-09
3086014,10.18,0.00,37,0.11,0-9,2023-02-10,2023-02-10
3086761,10.17,0,37,0.11,0-9,2023-02-11,2023-02-11
3087567,10.2,0.00,37,0.1,0-9,2023-02-12,2023-02-12
3087983,10.17,0,37,0.11,0-9,2023-02-13,2023-02-13
3088832,10.17,0.00,37,0.11,0-9,2023-02-14,2023-02-14
3089713,10.17,0,37,0.11,0-9,2023-02-15,2023-02-15
3089713,10.17,0,37,0.11,0-9,2023-02-15,2023-02-15
3089713,10.17,0,37,0.11,0-9,2023-02-15,2023-02-15
3090456,10.17,0.00,37,0.11,0-9,2023-02-16,2023-02-16
3091192,10.17,0,37,0.11,0-9,2023-02-17,2023-02-17
3091865,10.16,0.00,37,0.11,0-9,2023-02-18,2023-02-18
3092463,10.16,0,37,0.11,0-9,2023-02-19,2023-02-19
