confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
13885522,46.35,0.12,16261,49.08,남성,2023-01-20,2023-01-20
13897512,46.35,0.12,16285,49.07,남성,2023-01-21,2023-01-21
13904972,46.35,0.12,16299,49.08,남성,2023-01-22,2023-01-22
13909384,46.4,0.12,16312,49.1,남성,2023-01-23,2023-01-23
13915071,46.35,0.12,16318,49.08,남성,2023-01-24,2023-01-24
13923751,46.35,0.12,16331,49.09,남성,2023-01-25,2023-01-25
13939198,46.35,0.12,16349,49.10,남성,2023-01-26,2023-01-26
13953220,46.3,0.12,16365,49.1,남성,2023-01-27,2023-01-27
13963505,46.34,0.12,16380,49.10,남성,2023-01-28,2023-01-28
13971851,46.34,0.12,16400,49.12,남성,2023-01-29,2023-01-29
13975331,46.34,0.12,16416,49.12,남성,2023-01-30,2023-01-30
13984497,46.3,0.12,16430,49.1,남성,2023-01-31,2023-01-31
13993871,46.34,0.12,16455,49.14,남성,2023-02-01,2023-02-01
14001572,46.34,0.12,16474,49.14,남성,2023-02-02,2023-02-02
14008325,46.34,0.12,16491,49.15,남성,2023-02-03,2023-02-03
14008325,46.34,0.12,16491,49.15,남성,2023-02-03,2023-02-03
14014962,46.3,0.12,16502,49.2,남성,2023-02-04,2023-02-04
14021193,46.34,0.12,16516,49.16,남성,2023-02-05,2023-02-05
14023936,46.34,0.12,16529,49.17,남성,2023-02-06,2023-02-06
14031375,46.34,0.12,16534,49.17,남성,2023-02-07,2023-02-07
14039471,46.3,0.12,16547,49.2,남성,2023-02-08,2023-02-08
14045918,46.34,0.12,16566,49.19,남성,2023-02-09,2023-02-09
14051935,46.34,0.12,16576,49.19,남성,2023-02-10,2023-02-10
14057489,46.34,0.12,16589,49.21,남성,2023-02-11,2023-02-11
14062780,46.3,0.12,16599,49.2,남성,2023-02-12,2023-02-12
14065203,46.34,0.12,16604,49.20,남성,2023-02-13,2023-02-13
14071760,46.33,0.12,16612,49.21,남성,2023-02-14,2023-02-14
14078386,46.33,0.12,16629,49.22,남성,2023-02-15,2023-02-15
14078386,46.33,0.12,16629,49.22,남성,2023-02-15,2023-02-15
14078386,46.33,0.12,16629,49.22,남성,2023-02-15,2023-02-15
14083801,46.33,0.12,16641,49.23,남성,2023-02-16,2023-02-16
14088807,46.33,0.12,16656,49.23,남성,2023-02-17,2023-02-17
14093460,46.33,0.12,16663,49.23,남성,2023-02-18,2023-02-18
14097983,46.33,0.12,16669,49.23,남성,2023-02-19,2023-02-19
14099997,46.33,0.12,16673,49.23,남성,2023-02-20,2023-02-20
14105338,46.33,0.12,16678,49.24,남성,2023-02-21,2023-02-21
14111134,46.33,0.12,16683,49.23,남성,2023-02-22,2023-02-22
14115810,46.33,0.12,16690,49.22,남성,2023-02-23,2023-02-23
14120189,46.33,0.12,16698,49.21,남성,2023-02-24,2023-02-24
14124472,46.33,0.12,16703,49.21,남성,2023-02-25,2023-02-25
14128477,46.32,0.12,16707,49.22,남성,2023-02-26,2023-02-26
14130267,46.32,0.12,16716,49.22,남성,2023-02-27,2023-02-27
14135107,46.32,0.12,16726,49.23,남성,2023-02-28,2023-02-28
14140463,46.32,0.12,16732,49.23,남성,2023-03-01,2023-03-01
14143752,46.32,0.12,16736,49.22,남성,2023-03-02,2023-03-02
14148287,46.32,0.12,16742,49.22,남성,2023-03-03,2023-03-03
14153151,46.32,0.12,16745,49.22,남성,2023-03-03,2023-03-03
14153151,46.32,0.12,16745,49.22,남성,2023-03-04,2023-03-04
14159426,46.32,0.12,16754,49.23,남성,2023-03-06,2023-03-06
14157503,46.32,0,0,0,남성,2023-03-06,2023-03-06
14159426,46.32,0.12,16754,49.23,남성,2023-03-06,2023-03-06
14164947,46.32,0.12,16765,49.24,남성,2023-03-07,2023-03-07
14170634,46.32,0.12,16771,49.24,남성,2023-03-08,2023-03-08
14175383,46.32,0.12,16783,49.24,남성,2023-03-09,2023-03-09
14179926,46.32,0.12,16792,49.25,남성,2023-03-10,2023-03-10
14184355,46.32,0.12,16792,49.25,남성,2023-03-11,2023-03-11
14188429,46.31,0,0,0,남성,2023-03-13,2023-03-13
14190350,46.31,0.12,16804,49.26,남성,2023-03-13,2023-03-13
14195467,46.31,0.12,16805,49.25,남성,2023-03-14,2023-03-14
14200750,46.31,0.12,16811,49.25,남성,2023-03-15,2023-03-15
14205098,46.31,0.12,16822,49.26,남성,2023-03-16,2023-03-16
14209060,46.31,0.12,16828,49.27,남성,2023-03-17,2023-03-17
14212972,46.31,0.12,16830,49.27,남성,2023-03-18,2023-03-18
