confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date.1
0,0.0,,,,0-9,2020-01-20,2020-01-20
0,0.0,,,,0-9,2020-01-21,2020-01-21
0,0.0,,,,0-9,2020-01-22,2020-01-22
0,0.0,,,,0-9,2020-01-23,2020-01-23
0,0.0,,,,0-9,2020-01-24,2020-01-24
0,0.0,,,,0-9,2020-01-25,2020-01-25
0,0.0,,,,0-9,2020-01-26,2020-01-26
0,0.0,,,,0-9,2020-01-27,2020-01-27
0,0.0,,,,0-9,2020-01-28,2020-01-28
0,0.0,,,,0-9,2020-01-29,2020-01-29
0,0.0,,,,0-9,2020-01-30,2020-01-30
0,0.0,,,,0-9,2020-01-31,2020-01-31
0,0.0,,,,0-9,2020-02-01,2020-02-01
0,0.0,,,,0-9,2020-02-02,2020-02-02
0,0.0,,,,0-9,2020-02-03,2020-02-03
0,0.0,,,,0-9,2020-02-04,2020-02-04
0,0.0,,,,0-9,2020-02-05,2020-02-05
0,0.0,,,,0-9,2020-02-06,2020-02-06
0,0.0,,,,0-9,2020-02-07,2020-02-07
0,0.0,,,,0-9,2020-02-08,2020-02-08
0,0.0,,,,0-9,2020-02-09,2020-02-09
0,0.0,,,,0-9,2020-02-10,2020-02-10
0,0.0,,,,0-9,2020-02-11,2020-02-11
0,0.0,,,,0-9,2020-02-12,2020-02-12
0,0.0,,,,0-9,2020-02-13,2020-02-13
0,0.0,,,,0-9,2020-02-14,2020-02-14
0,0.0,,,,0-9,2020-02-15,2020-02-15
0,0.0,,,,0-9,2020-02-16,2020-02-16
0,0.0,,,,0-9,2020-02-17,2020-02-17
0,0.0,,,,0-9,2020-02-18,2020-02-18
0,0.0,,,,0-9,2020-02-19,2020-02-19
0,0.0,0.0,0.0,0.0,0-9,2020-02-20,2020-02-20
0,0.0,0.0,0.0,0.0,0-9,2020-02-21,2020-02-21
0,0.0,0.0,0.0,0.0,0-9,2020-02-22,2020-02-22
1,0.18,0.0,0.0,0.0,0-9,2020-02-23,2020-02-23
2,0.26,0.0,0.0,0.0,0-9,2020-02-24,2020-02-24
2,0.22,0.0,0.0,0.0,0-9,2020-02-25,2020-02-25
3,0.26,0.0,0.0,0.0,0-9,2020-02-26,2020-02-26
9,0.56,0.0,0.0,0.0,0-9,2020-02-27,2020-02-27
13,0.64,0.0,0.0,0.0,0-9,2020-02-28,2020-02-28
19,0.65,0.0,0.0,0.0,0-9,2020-02-29,2020-02-29
26,0.74,0.0,0.0,0.0,0-9,2020-03-01,2020-03-01
31,0.74,0.0,0.0,0.0,0-9,2020-03-02,2020-03-02
34,0.71,0.0,0.0,0.0,0-9,2020-03-03,2020-03-03
34,0.64,0.0,0.0,0.0,0-9,2020-03-04,2020-03-04
38,0.66,0.0,0.0,0.0,0-9,2020-03-05,2020-03-05
45,0.72,0.0,0.0,0.0,0-9,2020-03-06,2020-03-06
52,0.77,0.0,0.0,0.0,0-9,2020-03-07,2020-03-07
58,0.81,0.0,0.0,0.0,0-9,2020-03-08,2020-03-08
66,0.89,0.0,0.0,0.0,0-9,2020-03-09,2020-03-09
67,0.89,0.0,0.0,0.0,0-9,2020-03-10,2020-03-10
75,0.97,0.0,0.0,0.0,0-9,2020-03-11,2020-03-11
76,0.97,0.0,0.0,0.0,0-9,2020-03-12,2020-03-12
77,0.97,0.0,0.0,0.0,0-9,2020-03-13,2020-03-13
81,1.0,0.0,0.0,0.0,0-9,2020-03-14,2020-03-14
83,1.02,0.0,0.0,0.0,0-9,2020-03-15,2020-03-15
85,1.03,0.0,0.0,0.0,0-9,2020-03-16,2020-03-16
86,1.03,0.0,0.0,0.0,0-9,2020-03-17,2020-03-17
87,1.03,0.0,0.0,0.0,0-9,2020-03-18,2020-03-18
92,1.07,0.0,0.0,0.0,0-9,2020-03-19,2020-03-19
98,1.13,0.0,0.0,0.0,0-9,2020-03-20,2020-03-20
99,1.13,0.0,0.0,0.0,0-9,2020-03-21,2020-03-21
101,1.14,0.0,0.0,0.0,0-9,2020-03-22,2020-03-22
103,1.15,0.0,0.0,0.0,0-9,2020-03-23,2020-03-23
106,1.17,0.0,0.0,0.0,0-9,2020-03-24,2020-03-24
106,1.16,0.0,0.0,0.0,0-9,2020-03-25,2020-03-25
107,1.16,0.0,0.0,0.0,0-9,2020-03-26,2020-03-26
109,1.17,0.0,0.0,0.0,0-9,2020-03-27,2020-03-27
110,1.16,0.0,0.0,0.0,0-9,2020-03-28,2020-03-28
112,1.17,0.0,0.0,0.0,0-9,2020-03-29,2020-03-29
113,1.17,0.0,0.0,0.0,0-9,2020-03-30,2020-03-30
