time,S1,I1,R1,V1,S2,I2,R2,V2,S3,I3,R3,V3,Med_Cost,Wage_Loss,Death_Cost,Vacc_Cost,GDP_Loss,Total_Rate,Cumulative_Med_Cost,Cumulative_Wage_Loss,Cumulative_Death_Cost,Cumulative_Vacc_Cost,Cumulative_GDP_Loss,Cumulative_Cost
0.0,6246073.0,1.0,0.0,0.0,31530507.0,1.0,0.0,0.0,13972160.0,1.0,0.0,0.0,695.275,193.88821,66.12922678,0.0,5681363.14014439,5682318.43258117,695.275,193.88821,66.12922678,0.0,5681363.14014439,5682318.43258117
1.0,6183734.442302417,1.0868921565309968,0.1306838443367671,62338.340121579684,31215818.84773491,1.7964203983317242,0.1154214361838346,314687.24042324786,13832711.625368848,1.4954378873585663,0.05964681083499017,139447.8195464511,1026.4201449095835,281.87402427893045,98.9732343073646,18469088.787264124,5681363.14014439,24151859.194812007,1721.6951449095836,475.76223427893046,165.1024610873646,18469088.787264124,11362726.28028878,29834177.62739318
2.0,6122329.102824565,1.189534216921915,0.27256749848607204,123743.43507371742,30905841.533509184,2.7522366660771787,0.3030209016536877,624663.4112332425,13695350.730242807,2.109948920453893,0.14563424539356232,276808.01417402265,1429.7572458283362,388.2932994648571,139.70186261437524,36661683.410799935,5681363.14014439,42345004.30335224,3151.45239073792,864.0555337437876,304.8043237017398,55130772.19806406,17044089.42043317,72179181.93074542
3.0,6061843.0056466935,1.310797100085936,0.4277451571504498,184229.255811048,30600504.488667075,3.896944886801052,0.5769042197393168,929999.0374838121,13560046.034679698,2.865924268696447,0.2640887646329466,412111.8353072636,1918.748781256064,516.5708499710765,189.79764355799713,54581922.99881194,5681363.14014439,60265911.256231114,5070.201171993984,1380.626383714864,494.60196725973697,109712695.19687599,22725452.56057756,132445093.18697654
4.0,6002262.383214282,1.4540158405705184,0.5986889533513069,243809.56408092304,30299738.193391282,5.2648942583790665,0.9537597283311209,1230763.5879547219,13426766.722036514,3.7894819169017753,0.4222718757160788,545390.0662096889,2509.0840953685065,670.6964081824583,250.98984752743013,72233884.68445314,5681363.14014439,77918678.59494862,7579.28526736249,2051.3227918973225,745.5918147871671,181946579.88132912,28406815.70072195,210363771.78192514
5.0,5943573.6730914265,1.62305319285734,0.7883092064456895,302497.9155461728,30003474.159863316,6.895974824678852,1.4532777120163571,1527025.4908841401,13295482.431286253,4.911007082114509,0.6287667461316048,676673.0289399157,3218.998408332098,855.3051024349423,325.29025787278226,89621584.52883938,5681363.14014439,95307347.26275241,10798.283675694587,2906.627894332265,1070.8820726599492,271568164.4101685,34088178.84086634,305671119.04467756
6.0,5885763.514746972,1.8223701443843254,1.0000227143356335,360307.66286016704,29711644.915532276,8.836384197427135,2.0986278271512235,1818852.1494556915,13166163.249355065,6.265756901993033,0.8936912430891675,805990.5911967879,4069.6290818281786,1075.7672536327798,415.0331991758631,106748978.42961223,5681363.14014439,112435901.99929127,14867.912757522765,3982.395147965045,1485.9152718358123,378317142.83978075,39769541.981010735,418107021.0439688
7.0,5828818.746371867,2.057103948395137,1.2378300469780388,417251.95869413525,29424183.986478023,11.139480905267355,2.9170017884208246,2106309.957039278,13038779.703470398,7.894535960080792,1.2289408200157257,933372.1730528172,5085.412841048539,1338.288403941926,522.9202537694104,123619963.01499559,5681363.14014439,129308272.77663875,19953.325598571304,5320.683551906971,2008.8355256052228,501937105.8547763,45450905.12115513,547415293.8206075
8.0,5772726.401725508,2.333154170776083,1.5064027200238606,473343.7587175992,29141025.880851723,13.866730809661735,3.940228109739816,2389464.312189354,12913302.753509913,9.844448321074573,1.6484644833245652,1058846.7535772782,6294.527113078375,1650.0203527359768,652.0700418307306,140238376.5235561,5681363.14014439,145928336.28120813,26247.852711649677,6970.703904642947,2660.9055674359533,642175482.3783324,51132268.26129952,693343630.1018157
9.0,5717473.707009071,2.657277310515329,1.8111812576279553,528595.8245323596,28862106.072377175,17.088753906900557,5.205466727918905,2668379.6334021823,12789703.78434058,12.169732542841489,2.168577575924614,1182442.8773492973,7729.379078682772,2019.1840815942176,806.0734928760306,156607999.66975006,5681363.14014439,162299917.4465476,33977.23179033245,8989.887986237165,3466.979060311984,798783482.0480825,56813631.40144391,855643547.5483633
10.0,5663048.077763735,3.037190541460393,2.1584851918140853,583020.7265605292,28587360.983895645,20.88647882417102,6.755991714230881,2943119.37363381,12667954.598137151,14.9326861985891,2.8083153187558785,1304188.6608613287,9427.146050856707,2455.2054516082885,989.0550408666749,172732556.4953507,5681363.14014439,178426791.0420384,43404.377841189154,11445.093437845453,4456.034101178659,971516038.5434332,62494994.54158831,1034070338.5904018
11.0,5609437.115791677,3.481685123411971,2.5556361143175486,636630.8468870834,28316727.970936313,25.352412477994918,8.64207088864503,3213746.0345803103,12548027.40666864,18.20468666976603,3.5898313675419606,1424111.7988133165,11430.37089682203,2968.864578753227,1205.7401901403825,188615715.20683816,5681363.14014439,194312683.32264826,54834.748738011185,14413.95801659868,5661.774291319041,1160131753.7502713,68176357.6817327,1228383021.91305
12.0,5556628.606097608,4.000750038817929,3.0110949734422414,689438.382057378,28050145.305293858,30.592032618008183,10.921951843657002,3480321.180721672,12429894.823541004,22.06731527555805,4.538846004220387,1542239.5702977092,13787.616368318726,3572.4598267407155,1461.52991955174,204261088.9988249,5681363.14014439,209961273.7450839,68622.3651063299,17986.417843339397,7123.304210870781,1364392842.7490962,73857720.82187709,1438344295.6581337
13.0,5504610.513848711,4.605706387636452,3.5346148505019417,741455.3458300501,27787552.15859434,36.725310861860926,13.662964317101157,3742905.453130472,12313529.856383992,26.61359180839804,5.685148824035869,1658598.84487537,16554.18217818642,4279.9873466493955,1762.5823924070573,219672236.8635715,5681363.14014439,225376196.75563312,85176.54728451633,22266.405189988793,8885.886603277839,1584065079.6126676,79539083.96202148,1663720492.4137669
14.0,5453370.9813506985,5.309353072262532,4.137410524189158,792693.5718857034,27528888.58583014,43.88837398802931,16.942749543877284,4001558.583046319,12198905.898969747,31.94932678414386,7.0631611481243155,1773216.0885423163,19792.888768263896,5107.337115670111,2115.9024555747415,234852664.3866423,5681363.14014439,240561043.65512618,104969.43605278022,27373.742305658903,11001.78905885258,1818917743.9993098,85220447.10216588,1904281536.068893
15.0,5402898.325037784,6.126124281463847,4.83234618571627,843164.7164917467,27274095.508844227,52.23531116877459,20.850627776392944,4256339.405216821,12085996.723250447,38.194598763051154,8.712563704827568,1886117.3695870803,23574.931707211745,6072.506421699939,2529.4394142537935,249805824.52873236,5681363.14014439,255519364.5464199,128544.36775999196,33446.24872735884,13531.228473106374,2068723568.528042,90901810.24231027,2159800900.615313
16.0,5353181.032474275,7.072259261966862,5.634142725118337,892880.2611237357,27023114.699743826,61.940134767608846,25.489115759279997,4507305.871005636,11974776.471302005,45.48536416754946,10.678995458241634,1997328.3643383645,27980.810663299013,7195.831738118248,3012.193573467339,264535118.3936862,5681363.14014439,270254670.36980546,156525.17842329098,40642.08046547709,16543.422046573713,2333258686.921728,96583173.38245466,2430055570.9851184
17.0,5304207.75936556,8.165984838078675,6.559606058952898,941851.5150435413,26775888.76422334,73.19890217555549,30.975606489552558,4754515.061267984,11865219.647160662,53.975207019244586,13.014829777674349,2106874.362802536,33101.33686065067,8500.239919882843,3574.3320370694323,279043895.9827188,5681363.14014439,284770435.0316808,189626.51528394164,49142.32038535993,20117.754083643144,2612302582.904447,102264536.52259906,2714826006.016799
18.0,5255967.326576227,9.427711106700318,7.627878020324529,990089.6178346428,26532361.124776095,86.2320059657215,37.44422416951198,4998023.198993757,11757301.108539157,63.837235986951484,15.78003448026356,2214780.2741903705,39038.722872583196,10011.519633994916,4227.314252982261,293335456.9348312,5681363.14014439,299070097.63173515,228665.23815652484,59153.84001935485,24345.068336625405,2905638039.839278,107945899.66274345,3013896103.6485343
19.0,5208448.717153102,10.880240697121279,8.860711374618676,1037605.5418948234,26292476.003774654,101.28663938261968,45.04786777767565,5237885.661718172,11650996.058409035,75.26613604708439,19.043122592909054,2321070.6323323217,45907.75851742197,11758.61391110719,4984.027787349428,307413051.25340456,5681363.14014439,313157064.7937648,274572.9966739468,70912.45393046204,29329.096123974832,3213051091.092683,113627262.80288784,3327053168.442299
20.0,5161641.073350976,12.548991940200562,10.282770563351157,1084410.0948865176,26056178.406399217,118.63944384564056,53.960457197968495,5474156.993699728,11546280.036435612,88.48038191335418,22.882201001032136,2425769.600981471,53837.076500974,13773.93467032227,5858.934800690084,321279880.01894146,5681363.14014439,327034713.10505784,328410.0731749208,84686.38860078431,35188.03092466491,3534330971.1116242,119308625.94303223,3654087881.5473566
21.0,5115533.693658911,14.462236237131929,11.921959813306481,1130513.9221450363,25823414.10339395,138.5993447041147,64.37939636060189,5706890.917864973,11443128.91025219,103.7246201718837,27.38612448489604,2528900.979003152,62970.5112818223,16093.70002251269,6868.229684473876,334939096.0879106,5681363.14014439,340706391.6690438,391380.5844567431,100780.088623297,42056.260609138786,3869270067.199535,124989989.08317663,3994794273.2164
22.0,5070116.029824935,16.651349918978838,13.809780244564768,1175927.5090448991,25594129.613631092,161.51058147971963,76.52826781358331,5936140.347519603,11341518.866560059,121.2722270494229,32.65576262550895,2630488.2054502633,73468.55463281705,18758.295157044013,8030.008315981339,348393804.777648,5681363.14014439,354175424.7758982,464849.13908956014,119538.38378034101,50086.26892512012,4217663871.977183,130671352.22332102,4348969697.992298
23.0,5025377.683877212,19.151080655826107,15.98171772761523,1220661.1833244017,25368272.186463498,187.75593685440896,90.65977505908783,6161957.397824573,11241426.402041256,141.42804767792586,38.80538834537899,2730554.364522717,85509.9105986007,21812.65740495077,9364.449318675202,361647064.5372197,5681363.14014439,367445114.69468635,550359.0496881609,141351.04118529178,59450.71824379532,4579310936.514402,136352715.3634654,4716414812.686984
24.0,4981308.405139539,21.999828722045045,18.47766307491301,1264725.117368661,25145789.78384584,217.7601706781428,107.05894658958941,6384393.397036879,11142828.314070856,164.53132371858638,45.9641952997041,2829122.190410121,99293.15331294644,25306.686284319563,10894.007781706074,374701887.60420805,5681363.14014439,380518744.5917314,649652.2030011073,166657.72746961133,70344.7260255014,4954012824.11861,142034078.50360978,5096933557.278715
25.0,4937898.087239504,25.239942940589252,21.342366358186904,1308129.3304511942,24926631.062206727,251.99366106036757,126.04661922385925,6603498.897512971,11045701.69121661,190.9588138609736,54.27795384219006,2926214.0720156822,115038.48946945177,29295.67887959668,12643.62173643252,387561240.6472793,5681363.14014439,393399581.5775092,764690.6924705592,195953.406349208,82988.34776193392,5341574064.76589,147715441.64375415,5490333138.856224
26.0,4895136.765107284,28.918031524212154,24.62592694861999,1350883.69093424,24710745.354052696,290.976257923274,147.9832151498419,6819323.686474213,10950023.9035131,221.12811347972374,63.91081315760465,3021852.0575602585,132989.62853117037,33840.79126113897,14640.931805097196,400228045.3944811,5681363.14014439,406090879.88622296,897680.3210017295,229794.19761034698,97629.27956703112,5741802110.160371,153396804.78389853,5896424018.742447
27.0,4853014.611963561,33.0852875417588,28.38432103071206,1392997.9184278636,24498082.649287473,335.28135005949844,173.27283028216576,7031916.796532168,10855772.592498934,255.50117722318555,75.04725941627296,3116057.8590644225,153415.76201805513,39009.52618009865,16916.514270448253,412705179.2471144,5681363.14014439,418595884.1897274,1051096.0830197847,268803.7237904456,114545.79383747937,6154507289.407485,159078167.9240429,6315019902.932175
28.0,4811521.936294991,37.79782889018417,32.67996814300506,1434481.585907973,24288593.57623073,385.5401476621831,202.36764924331882,7241326.515972348,10762925.661006074,294.58804850889084,87.8942384447436,3208852.856706968,176613.65348810976,44876.247361950445,19504.127828556313,424995475.8790814,5681363.14014439,430917833.04790443,1227709.7365078945,313679.97115239606,134049.9216660357,6579502765.286567,164759531.0641873,6745937735.980079
29.0,4770649.178815729,43.11705251189913,37.58233846586125,1475344.1217932897,24082229.38232004,442.44618135632015,235.7727042954612,7447600.398794295,10671461.262689987,338.9507996110705,102.68345263858629,3300258.1030577584,202909.8405226002,51522.72062936159,22440.974267741298,437101725.8215575,5681363.14014439,443059962.49712163,1430619.5770304946,365202.69178175763,156490.89593377698,7016604491.108124,170440894.20433167,7188997698.4772005
30.0,4730386.909413882,49.110002475967235,43.1686022740506,1515594.8119813649,23878941.91448365,506.7600167626343,274.0509933672496,7650785.274506206,10581357.791291907,389.20768411832455,119.67384090243661,3390294.3271830673,232662.94900533097,59038.68184001991,25767.973190398505,449026677.032862,5681363.14014439,455025509.77704215,1663282.5260358255,424241.3736217775,182258.8691241755,7465631168.1409855,176122257.34447604,7644023208.254243
31.0,4690725.8240815895,55.84975154215528,49.524323199079134,1555242.8018436653,23678683.59916971,579.3141841504998,317.82897435303494,7850927.257671773,10492593.869623056,446.0375043080693,139.15425144612027,3478981.9386211867,266266.1203319157,67522.431699837,29530.050945259118,460773035.4533657,5681363.14014439,466817717.1964871,1929548.6463677413,491763.8053216145,211788.9200694346,7926404203.594351,181803620.48462042,8110840925.45073
