time,S1,I1,R1,V1,S2,I2,R2,V2,S3,I3,R3,V3,Med_Cost,Wage_Loss,Death_Cost,Vacc_Cost,GDP_Loss,Total_Rate,Cumulative_Med_Cost,Cumulative_Wage_Loss,Cumulative_Death_Cost,Cumulative_Vacc_Cost,Cumulative_GDP_Loss,Cumulative_Cost
0.0,6246073.0,1.0,0.0,0.0,31530507.0,1.0,0.0,0.0,13972160.0,1.0,0.0,0.0,482.40000000000003,193.33341,66.12922678,0.0,5681363.14014439,5682105.00278117,482.40000000000003,193.33341,66.12922678,0.0,5681363.14014439,5682105.00278117
1.0,6183906.784646373,1.0866294755967225,0.1303051593940705,62165.99841898892,31216688.840616744,1.7939932300436445,0.11500568329748799,313817.2503843402,13833097.14706774,1.4939020579449762,0.05944668391658635,139062.29958352042,703.4235819845233,281.0019436357869,98.87143156879847,18418028.810313735,5681363.14014439,24100475.24741531,1185.8235819845233,474.3353536357869,165.00065834879848,18418028.810313735,11362726.28028878,29782580.250196483
2.0,6122668.63467452,1.188913684499072,0.2717423448621352,123403.90466944737,30907555.50805915,2.746418066874686,0.30175099308843983,622949.4437717908,13696110.24750473,2.106156025418984,0.14507145449221184,276048.5012677921,971.471234508273,386.98370504500247,139.450499660211,36561090.14559492,5681363.14014439,42243951.19117852,2157.2948164927966,861.3190586807893,304.4511580090095,54979118.955908656,17044089.42043317,72026531.441375
3.0,6062344.689762195,1.3096977822036218,0.4263868121004504,183727.57415320867,30603037.017371252,3.8865055897368963,0.5742140495423597,927466.5219091139,13561168.280103268,2.8589517466728127,0.2629452583354156,410989.59799972875,1295.2689430730238,514.6711551768102,189.33563311748551,54433288.899658956,5681363.14014439,60116651.31553472,3452.5637595658204,1375.9902138575994,493.786791126495,109412407.8555676,22725452.56057756,132143182.75690973
4.0,6002921.295658394,1.452285551972527,0.5966872437245644,243150.6553688085,30303064.42089102,5.248282493848787,0.9489246225499666,1227437.3819018677,13428240.68185662,3.778161665426456,0.42026051183493196,543916.1197212065,1684.9797375686414,668.0147233877858,250.23984518692544,72038668.65402973,5681363.14014439,77722635.02848026,5137.543497134462,2044.0049372453852,744.0266363134205,181451076.50959733,28406815.70072195,209865817.78539
5.0,5944385.000981483,1.6205020826264025,0.7855251102771676,301686.5929913216,30007569.79164321,6.871248777093247,1.4453773764020008,1522929.8917306436,13297297.340382101,4.893873334605639,0.6255149584909548,674858.1402296103,2152.4083704475065,851.6020747187097,324.15521129940316,89381212.58826832,5681363.14014439,95065903.89406918,7289.951867581969,2895.607011964095,1068.1818476128237,270832289.09786564,34088178.84086634,304931721.67945915
6.0,5886722.554049534,1.8187632339744015,0.9962819326351957,359348.6309052973,29716486.206838883,8.80113302772387,2.086502075312003,1814010.9055260187,13168308.58636422,6.240985064740211,0.8887214804523496,803845.283929239,2711.2297172913077,1070.7465280683014,413.3922989334783,106464844.37609343,5681363.14014439,112150402.88478212,10001.181584873277,3966.3535400323963,1481.574146546302,377297133.4739591,39769541.981010735,417082124.5642413
7.0,5829920.899741384,2.052152492887876,1.2329153879983392,416149.8151907322,29429747.731467973,11.090732842997078,2.8991979024757066,2100746.2786012893,13041245.186008744,7.859871181354117,1.2216472308105095,930906.7324728488,3377.243247972043,1331.5855254541136,520.6242044618102,123293429.06723176,5681363.14014439,128980021.66035403,13378.42483284532,5297.93906548651,2002.1983510081122,500590562.54119086,45450905.12115513,546062146.2245953
8.0,5773967.176386248,2.326505702531583,1.500045118534733,472102.9970629274,29147289.401968136,13.800846669240338,3.9149385335386877,2383200.8822466675,12916078.333497638,9.797122434239615,1.638085247661726,1056071.2312946834,4168.655548806655,1641.1899093568582,648.9355636914228,139870773.955209,5681363.14014439,145558595.87637523,17547.080381651976,6939.128974843368,2651.133914699535,640461336.4963999,51132268.26129952,691620742.1009705
9.0,5718848.712679888,2.6485042134912,1.8030492308279809,527220.8357666637,28869047.209953707,17.001304237035747,5.1704556293575905,2661438.6182864355,12792779.643434588,12.106367895163384,2.1541622079149185,1179367.0960353138,5106.393156387006,2007.684872046388,801.8769553105899,156200629.43116164,5681363.14014439,161889908.52628976,22653.473538038983,8946.813846889756,3453.010870010125,796661965.9275615,56813631.40144391,853510650.6272602
