Date,S,I,R,V
2020-01-20,13972160.0,0.0,0.0,0.0
2020-01-21,13972160.0,0.0,0.0,0.0
2020-01-22,13972160.0,0.0,0.0,0.0
2020-01-23,13972160.0,0.0,0.0,0.0
2020-01-24,13972159.0,1.0,0.0,0.0
2020-01-25,13972159.0,0.952,0.048,0.0
2020-01-26,13972158.00024,1.906304,0.093456,0.0
2020-01-27,13972157.00070728,2.814801408,0.18449131200000002,0.0
2020-01-28,13972157.001629736,2.679690940416,0.31867932302400004,0.0
2020-01-29,13972157.003223132,2.551065775276032,0.4457110915488481,0.0
2020-01-30,13972156.005451689,3.428614618062783,0.5659336933043534,0.0
2020-01-31,13972154.008281358,5.264041116395769,0.7276775265048452,0.0
2020-02-01,13972154.011919744,5.011367142808773,0.9767131124593179,0.0
2020-02-02,13972154.01680331,4.770821519953952,1.2123751697518426,0.0
2020-02-03,13972154.022865186,4.541822086996162,1.435312726860873,0.0
2020-02-04,13972154.030041749,4.323814626820346,1.6461436234023843,0.0
2020-02-05,13972153.038272467,5.116271524732969,1.845456007372749,0.0
2020-02-06,13972152.047499746,5.870690491545787,2.081809760523068,0.0
2020-02-07,13972152.057908796,5.5888973479515895,2.3531938553146503,0.0
2020-02-08,13972152.069674766,5.320630275249913,2.6096949587397535,0.0
2020-02-09,13972150.082723241,7.0652400220379175,2.85203673715805,0.0
2020-02-10,13972150.096983425,6.726108500980097,3.17690807453008,0.0
2020-02-11,13972150.112867966,6.403255292933053,3.4838767422044743,0.0
2020-02-12,13972150.13028735,6.0958990388722665,3.7738136125542385,0.0
2020-02-13,13972150.149156418,5.803295885006397,4.047547698357336,0.0
2020-02-14,13972150.169394156,5.52473768252609,4.305868162345857,0.0
2020-02-15,13972150.190923497,5.259550273764837,4.54952623029538,0.0
2020-02-16,13972148.213671127,7.007091860624125,4.779237012284616,0.0
2020-02-17,13972148.237567313,6.670751451314167,5.091681236533152,0.0
2020-02-18,13972147.26302572,7.350555381651087,5.386418900013566,0.0
2020-02-19,13972128.289957814,25.997728723331836,5.71231346383275,0.0
2020-02-20,13972122.318519382,30.74983774461191,6.931642875233514,0.0
2020-02-21,13972089.353177596,62.27384553287054,8.372976872598718,0.0
2020-02-22,13971975.39504248,173.28470094729278,11.32025657381351,0.0
2020-02-23,13971881.451643763,258.9670353018227,19.581320936414496,0.0
2020-02-24,13971793.549550368,334.5366176073352,31.913832026219914,0.0
2020-02-25,13971746.709119529,365.4788599621831,47.8120205112409,0.0
2020-02-26,13971643.94817963,450.9358746839983,65.11594568686948,0.0
2020-02-27,13971496.27375936,577.2909526991663,86.43528794326704,0.0
2020-02-28,13971336.705935799,709.5809869696063,113.7130772331107,0.0
2020-02-29,13971002.274501184,1010.5210995950653,147.20439922148626,0.0
2020-03-01,13970804.01052318,1161.016086814502,194.97339000594195,0.0
2020-03-02,13970528.98539013,1381.2873146474058,249.72729522300835,0.0
2020-03-03,13970303.234026607,1541.9855235443304,314.78044984996876,0.0
2020-03-04,13970107.807928856,1664.9702184142025,387.22185273084676,0.0
2020-03-05,13969935.74403812,1759.0516479303208,465.2043139510742,0.0
2020-03-06,13969686.070059689,1926.6171688296654,547.3127714819742,0.0
2020-03-07,13969487.806623546,2035.1395447258415,637.0538317283882,0.0
2020-03-08,13969331.991892705,2096.452846579001,731.5552607165866,0.0
2020-03-09,13969221.649669008,2109.8231099432087,828.5272210487957,0.0
2020-03-10,13969164.792305114,2069.5516006659345,925.6560942208258,0.0
