,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+,S_total,I_total,R_total,V_total
2020-01-20,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972160.0,0.0,0.0,0.0,51748740.0,0.0,0.0,0.0
2020-01-21,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972160.0,0.0,0.0,0.0,51748740.0,0.0,0.0,0.0
2020-01-22,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972160.0,0.0,0.0,0.0,51748740.0,0.0,0.0,0.0
2020-01-23,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972160.0,0.0,0.0,0.0,51748740.0,0.0,0.0,0.0
2020-01-24,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972159.0,1.0,0.0,0.0,51748739.0,1.0,0.0,0.0
2020-01-25,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972159.0,0.952,0.048,0.0,51748739.0,0.952,0.048,0.0
2020-01-26,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972158.00024,1.906304,0.093456,0.0,51748738.00024,1.906304,0.093456,0.0
2020-01-27,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972157.00070728,2.814801408,0.18449131200000002,0.0,51748737.00070728,2.814801408,0.18449131200000002,0.0
2020-01-28,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972157.001629736,2.679690940416,0.31867932302400004,0.0,51748737.00162974,2.679690940416,0.31867932302400004,0.0
2020-01-29,6246073.0,0.0,0.0,0.0,31530507.0,0.0,0.0,0.0,13972157.003223132,2.551065775276032,0.4457110915488481,0.0,51748737.003223136,2.551065775276032,0.4457110915488481,0.0
2020-01-30,6246073.0,0.0,0.0,0.0,31530505.0,2.0,0.0,0.0,13972156.005451689,3.428614618062783,0.5659336933043534,0.0,51748734.00545169,5.428614618062783,0.5659336933043534,0.0
2020-01-31,6246073.0,0.0,0.0,0.0,31530503.0,3.834,0.166,0.0,13972154.008281358,5.264041116395769,0.7276775265048452,0.0,51748730.00828136,9.09804111639577,0.8936775265048452,0.0
2020-02-01,6246073.0,0.0,0.0,0.0,31530502.00083,4.515777999999999,0.48339200000000004,0.0,13972154.011919744,5.011367142808773,0.9767131124593179,0.0,51748729.01274974,9.527145142808772,1.4601051124593178,0.0
2020-02-02,6246073.0,0.0,0.0,0.0,31530499.00324696,7.140968425999999,0.8557846139999999,0.0,13972154.01680331,4.770821519953952,1.2123751697518426,0.0,51748726.02005027,11.91178994595395,2.0681597837518426,0.0
2020-02-03,6246073.0,0.0,0.0,0.0,31530499.007525884,6.548268046641999,1.444206070288,0.0,13972154.022865186,4.541822086996162,1.435312726860873,0.0,51748726.03039107,11.09009013363816,2.879518797148873,0.0
2020-02-04,6246073.0,0.0,0.0,0.0,31530498.014746916,7.004761798770713,1.980491287807846,0.0,13972154.030041749,4.323814626820346,1.6461436234023843,0.0,51748725.044788666,11.32857642559106,3.62663491121023,0.0
2020-02-05,6246073.0,0.0,0.0,0.0,31530494.02464937,10.423366569472742,2.551984060666776,0.0,13972153.038272467,5.116271524732969,1.845456007372749,0.0,51748720.06292184,15.539638094205712,4.397440068039526,0.0
2020-02-06,6246073.0,0.0,0.0,0.0,31530492.03740929,11.558227144206505,3.40436356562968,0.0,13972152.047499746,5.870690491545787,2.081809760523068,0.0,51748717.08490904,17.428917635752292,5.486173326152748,0.0
2020-02-07,6246073.0,0.0,0.0,0.0,31530492.054431107,10.598894291237364,4.346674600770672,0.0,13972152.057908796,5.5888973479515895,2.3531938553146503,0.0,51748717.11233991,16.187791639188955,6.699868456085322,0.0
