COUNTRY,United States,"China, People's Republic of",Germany,"Netherlands, The",Japan,United Kingdom,France,"Korea, Republic of",India,Italy,Belgium,Singapore,"Hong Kong Special Administrative Region, People's Republic of China",Canada,Mexico,United Arab Emirates,Spain,Ireland,Switzerland
United States,0.0,154012.073132,72553.407512,73207.320239,80180.396565,76207.845726,47118.024442,72115.808598,47159.971229,27713.245041,35810.22701,46176.66821,25827.552656,356452.564116,324309.526814,20836.885628,26695.18464,16010.997301,36808.077038
"China, People's Republic of",582539.06388,0.0,116212.01278,117679.65066,173096.27477,81594.436,46070.90056,164077.91847,118769.03469,50875.15664,35534.44512,82004.67631,302337.79974,53745.07565,77459.56692,53953.53282,41688.1603,5706.40847,7604.6078
Germany,163669.278506,112576.15429,0.0,0.0,21585.945358,77188.914465,124389.473231,22596.956562,15634.71678,93779.438191,66122.614256,8081.151463,6692.823479,13365.357162,17101.617802,7928.983181,52507.028097,11425.027657,74872.0079
"Netherlands, The",39033.357526,19580.315129,252732.614668,0.0,5604.832646,51624.417631,84404.941175,10163.23405,3730.662379,41255.58812,112832.434302,4083.437017,2325.128658,5124.953248,4983.09256,4173.920727,30685.375344,9615.958456,11534.971274
Japan,139432.969598,144618.114503,19556.431374,12362.457358,0.0,11037.958442,6447.496145,54223.530735,13860.900102,5312.475815,7042.497327,22335.640506,33226.827841,8631.112609,10905.350141,8444.345651,2686.439083,2502.538938,4133.463266
United Kingdom,72896.54911,34869.954449,41942.388355,46444.759344,8393.007041,0.0,31952.776083,9363.977852,10371.644795,11917.885166,22661.713236,7394.916269,15492.810853,8414.432114,1793.783931,10735.17789,11678.953923,37329.184528,22286.566417
France,49121.738111,24920.806079,84756.606873,25887.242965,6712.943847,35266.774153,0.0,6173.732259,6204.464034,57390.290791,48878.117898,9322.117224,5270.418687,4304.30081,3771.926012,4677.794955,47339.550151,0.0,21766.618018
"Korea, Republic of",110177.645,155789.389,10067.732,7869.129,30606.277,6364.524,5346.757,0.0,18870.07,5134.154,5029.457,20205.408,27651.187,7839.26,12654.212,3966.846,3235.877,822.781,986.978
India,80327.233975,15144.85477,10458.551971,18464.41978,5707.398326,11226.382886,8065.165494,7541.192125,0.0,8522.894653,9745.010906,11855.878816,9809.722046,4258.527667,4939.358263,31350.759093,4812.039722,607.805907,1340.751842
Italy,68315.987322,17261.217496,81599.351211,19532.530091,8520.459448,28682.740169,66424.519022,7420.66872,5065.303009,0.0,24073.797735,2551.969764,4812.103285,6678.345059,5830.507716,6316.495723,34081.937724,3046.41396,32675.222554
Belgium,36634.812704,8070.53846,133730.22021,86709.923546,10555.819596,32206.730702,82757.845457,3467.00259,7370.964171,26950.305397,0.0,2173.46427,1441.518802,4268.818126,2593.850379,4769.34613,17635.598235,4489.652294,6820.450826
Singapore,45591.062585,64113.498202,8090.995495,11178.876616,20812.329647,3716.346593,4073.511425,20930.560119,13955.109549,1077.793015,6201.888256,0.0,58056.483757,1033.001431,2184.68526,5943.036475,426.527359,766.14052,3112.243606
"Hong Kong Special Administrative Region, People's Republic of China",38201.559876,350978.295457,8542.080556,10179.999663,13109.04665,6258.662548,3863.567198,10504.717803,22529.930703,3241.712123,2006.639465,12207.35656,0.0,2108.926832,5440.980452,13009.306514,1755.8464,470.234352,4501.825506
Canada,459928.585076,21908.91328,5767.186687,5129.152334,13823.629093,14009.690268,3021.663768,6662.480611,4085.526204,2178.730392,3549.75886,1173.503842,2567.330879,0.0,6929.440693,1380.971172,2340.687415,703.121646,2782.049692
Mexico,472584.176,10917.031,8339.087,2232.931,4702.525,2908.721,1275.285,7353.039,3696.902,899.828,1752.068,1301.236,796.677,15585.943,0.0,492.253,5492.612,331.062,1513.584
United Arab Emirates,6494.119106,42598.081925,1891.106426,2255.689461,42765.159686,5329.611069,2475.203559,14615.801885,50756.678814,2034.36075,2132.986025,14823.13546,9466.728731,573.408424,989.483,0.0,1433.716716,612.37527,8807.265917
Spain,19914.386673,8452.003198,40548.883083,15854.838843,3479.139467,22344.450977,63970.43451,2306.884396,1920.34465,34059.39886,25218.419812,1084.995331,879.081296,2493.33679,5443.774065,2111.580587,0.0,3080.349643,7191.986925
Ireland,62687.259468,13885.191223,26588.222444,0.0,4359.021547,23112.757081,0.0,933.421149,555.406359,4748.667694,18453.075939,0.0,701.859499,3473.122222,2315.998182,643.800048,2815.374204,0.0,3443.218527
Switzerland,65496.787561,44152.623806,53690.444364,7189.675626,9832.9409,13470.323408,21252.803631,3770.891983,14903.169016,25785.910984,5035.26379,10324.765633,7424.503531,4323.324473,1700.928244,6005.675611,10685.808317,1398.051036,0.0
